P_raw,DO_raw,interaction_shap_value
18.9,7.54,-0.3319863
18.1,8.65,-0.44305062
16.4,10.7,-0.0065379143
60.3,0.0,-0.092868805
15.6,10.5,0.07691717
16.9,1.18,0.120425224
49.2,4.3,0.27990067
19.3,9.5,-0.2929957
49.4,6.2,0.1768429
49.2,3.8,0.13404393
62.4,0.6,0.17060411
59.5,5.0,-0.10144457
59.6,5.9,-0.41227397
59.6,2.1,-0.4432112
17.9,10.5,-0.052583456
17.5,3.8,-0.030895472
58.9,6.0,-0.26806894
59.0,5.1,-0.10559386
60.1,0.0,-0.19436038
23.2,7.7,-0.33335164
58.9,2.4,-0.30450755
49.1,2.1,0.33630538
17.6,8.88,-0.36117995
59.8,6.0,-0.014659643
19.2,8.85,-0.46298325
49.6,3.8,-0.13630411
21.9,7.49,-0.33912945
59.5,0.1,-0.17302203
58.2,9.2,0.12557936
52.5,4.5,-0.10553609
15.4,7.3,-0.4915862
21.9,6.17,0.09758657
49.1,1.5,0.2972715
59.1,2.4,-0.08950883
60.1,5.1,-0.30656922
61.0,4.7,-0.33475015
16.5,0.0,0.045868397
16.9,2.2,0.062384963
17.1,9.05,-0.510401
61.0,4.3,-0.33888605
16.9,10.5,-0.17080188
49.6,5.9,-0.19810009
57.6,7.6,0.48288703
59.6,2.1,-0.1853503
24.0,9.24,-0.5531381
17.1,4.9,0.08610606
19.2,7.24,-0.41573048
17.9,10.35,0.022785187
18.2,8.0,-0.4702555
21.2,6.5,0.13958055
17.2,4.2,0.0163064
20.9,8.9,-0.3710786
20.8,7.3,-0.3223554
19.5,1.1,0.09384084
15.6,10.6,-0.0018310547
49.1,5.7,0.11506267
58.7,4.2,-0.06549549
16.4,7.7,-0.4627148
41.0,5.3,0.22982651
56.8,1.5,-0.29049993
57.3,4.6,-0.30841112
19.8,10.03,-0.46859348
61.6,6.0,-0.071163565
27.0,8.7,-0.36904913
13.7,8.66,-0.57927203
22.7,6.0,0.11565846
49.0,2.8,0.51285136
49.1,4.8,0.13404393
43.6,11.92,-3.0266461
42.0,11.09,-2.741839
53.3,3.3,-0.087472185
59.4,5.5,-0.17632264
17.4,9.86,-0.55414355
33.7,11.43,0.25756073
10.1,10.11,-0.88750136
17.5,4.0,0.11062431
16.3,7.8,-0.53723216
19.6,7.7,-0.4702555
61.1,5.6,-0.093287885
59.2,2.4,-0.39491916
53.6,0.6,-0.35565293
24.1,6.4,-0.034254342
19.9,10.5,0.4186077
18.9,9.4,-0.3301208
15.3,9.5,-0.3320145
16.8,7.17,-0.38397563
21.4,10.56,0.39354944
19.3,8.3,-0.44161963
63.3,2.6,-0.410259
17.5,9.2,-0.32655
55.3,4.5,0.053040445
19.0,9.6,-0.31493694
16.3,9.5,-0.45189142
48.9,6.3,-0.08662978
49.1,3.8,0.31001663
49.2,3.7,0.27926153
49.4,7.2,-2.289719
15.6,4.0,0.10558736
21.2,7.6,-0.32660532
16.4,2.5,0.13797545
51.4,4.4,-0.119495235
59.1,2.6,-0.1310243
68.4,8.2,0.32544172
19.3,6.1,-0.005071044
20.3,7.6,-0.32468808
59.3,0.0,-0.20475864
53.6,5.0,-0.044930875
15.7,8.82,-0.5179107
17.5,6.8,-0.054808915
49.5,7.4,0.061535835
20.0,3.3,0.09553227
59.9,8.5,0.71445453
57.3,2.4,-0.33547235
16.6,2.5,0.042300582
49.0,5.9,0.13302219
16.6,2.2,0.02058494
18.8,1.3,0.09384072
17.6,11.8,0.41959047
23.7,11.72,-0.092876434
49.6,4.5,-0.04362134
26.0,10.9,0.19393301
60.0,0.7,-0.07674742
60.7,3.1,-0.5917175
59.1,6.7,-0.21042438
28.8,9.71,-0.5731276
