主特征,交互特征,MeanAbsInteraction
CODo,CODo,98.02230072021484
CODo,COD2i,3.621316909790039
CODo,DO,0.8480195999145508
CODo,P,2.418428421020508
COD2i,CODo,3.6213150024414062
COD2i,COD2i,38.066802978515625
COD2i,DO,0.37384477257728577
COD2i,P,3.72834849357605
DO,CODo,0.8480183482170105
DO,COD2i,0.37384477257728577
DO,DO,2.550814390182495
DO,P,0.3104288578033447
P,CODo,2.4184274673461914
P,COD2i,3.7283473014831543
P,DO,0.3104288876056671
P,P,12.95506477355957
