bin_left,bin_right,count
-109.63348388671876,-101.64491984049481,1
-101.64491984049481,-93.65635579427085,0
-93.65635579427085,-85.66779174804688,0
-85.66779174804688,-77.67922770182292,1
-77.67922770182292,-69.69066365559897,1
-69.69066365559897,-61.70209960937501,2
-61.70209960937501,-53.713535563151055,1
-53.713535563151055,-45.7249715169271,11
-45.7249715169271,-37.73640747070314,20
-37.73640747070314,-29.747843424479186,37
-29.747843424479186,-21.75927937825523,65
-21.75927937825523,-13.770715332031259,118
-13.770715332031259,-5.782151285807302,202
-5.782151285807302,2.2064127604166544,268
2.2064127604166544,10.19497680664061,211
10.19497680664061,18.183540852864567,159
18.183540852864567,26.172104899088524,62
26.172104899088524,34.16066894531248,33
34.16066894531248,42.14923299153644,14
42.14923299153644,50.13779703776039,15
50.13779703776039,58.12636108398435,4
58.12636108398435,66.1149251302083,1
66.1149251302083,74.10348917643226,4
74.10348917643226,82.09205322265625,1
82.09205322265625,90.0806172688802,0
90.0806172688802,98.06918131510416,3
98.06918131510416,106.05774536132812,1
106.05774536132812,114.04630940755207,1
114.04630940755207,122.03487345377603,1
122.03487345377603,130.0234375,3
