theoretical_q,sample_q
-3.357185880281268,-11.802527608326253
-3.040455657655781,-8.345823716779089
-2.8831652975370994,-7.309791577572874
-2.7754928560976837,-6.285154623700551
-2.6927464367039295,-5.957918120561664
-2.625136748587886,-5.445356537704633
-2.5677457473390075,-4.473353160720159
-2.5177407029805927,-4.403690745426328
-2.473335887928078,-4.258100023366798
-2.433330700385236,-4.058634046524895
-2.396877893019857,-3.9836451659720606
-2.3633565533682126,-3.884225472307142
-2.3322976253898617,-3.880262925084562
-2.3033378338010704,-3.4508610186256266
-2.276189908256616,-3.4036988854979118
-2.2506226307412662,-3.39540333263884
-2.2264470497270823,-3.338091957061528
-2.2035067020912473,-3.2043848162192496
-2.1816705183493883,-3.167933415433159
-2.1608275715246172,-3.0598944578866853
-2.140883121808579,-2.994442203093502
-2.1217555904384424,-2.812693333605526
-2.1033742119506185,-2.8068677404616142
-2.0856771897007182,-2.754421677264216
-2.0686102301882636,-2.5859600768880586
-2.0521253662750065,-2.575356582611898
-2.036180003379318,-2.549047185886776
-2.02073613966461,-2.4774111153593448
-2.0057597233723223,-2.4413866276284146
-1.991220119261043,-2.381346704101491
-1.9770896625929595,-2.377579315076403
-1.96334328392955,-2.330533239010752
-1.949958191623682,-2.317150110658794
-1.9369136016488802,-2.2202723170384915
-1.9241905065176583,-2.2141096982057866
-1.9117714766734304,-2.177976366248274
-1.8996404890134893,-2.147689085578485
-1.8877827782006436,-2.1094930347990783
-1.8761847072125122,-2.0719515966958544
-1.8648336542080022,-2.0655894299558204
-1.8537179132960315,-2.0616757975751066
-1.842826607199363,-2.053580121135415
-1.8321496101372496,-2.040120857426266
-1.8216774795204507,-2.031322087755897
-1.8114013952734145,-2.028431574989139
-1.8013131057807232,-1.940586669355686
-1.791404879605767,-1.9306821815287887
-1.7816694622550744,-1.883582550883892
-1.772100037366447,-1.7795705742007728
-1.7626901917868798,-1.7577861233830592
-1.7534338840801178,-1.7423428019083862
-1.7443254160661272,-1.7271903218203122
-1.7353594070476754,-1.7197754223461772
-1.7265307704241974,-1.710184041777527
-1.7178346924315453,-1.6798640781094258
-1.709266612779088,-1.6410055232941592
-1.7008222069838335,-1.5901083991986955
-1.692497370225583,-1.5763496123376854
-1.6842882025680737,-1.5748027246962262
-1.6761909954092638,-1.557431477428954
-1.6682022190396677,-1.5031229339387286
-1.6603185112013867,-1.4978652988193968
-1.6525366665524397,-1.4896763551822945
-1.6448536269514729,-1.478502117106051
-1.637266472487102,-1.471855743459311
-1.6297724131841926,-1.4666166737057555
-1.6223687813264691,-1.4366963241402562
-1.6150530243411119,-1.4066423835261226
-1.6078226981965007,-1.405962025848851
-1.6006754612691825,-1.4024586865078275
-1.5936090686404503,-1.3694209130389636
-1.5866213667868005,-1.3448389204439088
-1.5797102886319518,-1.334874206137773
-1.57287384893116,-1.3100677548843944
-1.5661101399613215,-1.2413830453882964
-1.5594173274927778,-1.223631527677802
-1.5527936470209278,-1.2049284434793803
-1.5462374002377206,-1.186349145670279
