sample_id,f_x,Q2i,Q2mbr,P,DO,pH2i,COD2i,NH3N2i,pHO,CODo,NH3NO,TempO,pHMBR
1331,2.934731762905809,-0.005695674358041941,-0.013151307932287137,0.17598399257310388,0.00341069000949637,-0.016409008598460485,-0.09902432660903407,0.012487499062631463,-0.13397409596846757,-0.3358097308764223,0.9309808555461986,-0.07430259352583717,0.1318568273823827
597,1.6003156922966575,-0.017210806725513218,0.15019731449975243,0.33200090099187873,-0.04069566946453764,0.024884291395625403,-0.13545929256718986,0.05003117143589826,-0.06791115719282721,-0.3928129459423424,-0.7699037983569788,-0.22103294606638432,0.3298499940887284
493,3.406937331249967,-0.1017223333153292,0.029600507178216617,-0.16696916598542283,0.10195395322402448,-0.07859451247981564,0.24902913465627372,0.1361167190964752,0.3048567901313436,0.5774623433715727,0.4706428840796903,-0.02950848762294609,-0.4443091372846649
707,1.7189988021774996,-0.026029215592509432,0.0852392477907748,0.28794518730211377,-0.02260204662403324,-0.01744596029047769,-0.13429573885287924,-0.01935068800559938,-0.21299793079328952,-0.3178029339845781,-0.7252210370971504,0.23249938656687513,0.2306818955577043
500,3.239872652929215,-0.015769671887374194,-0.05245232411944987,-0.2803628551490221,0.05023752163790908,-0.004300539968686334,-0.10720043703103985,0.16420274189693396,0.43104418186373145,0.8847832999343226,0.42857861478030285,-0.03564351048044897,-0.5816230047485118
816,2.1002772177636526,-0.0004177412593311447,-0.06209048578032933,0.11927183029845093,0.27322196009471456,-0.0031516551949181126,-0.025504430531824728,-0.09514147775563217,0.3483445981049429,-0.3531129849038324,-0.19806376657068753,0.03715001548876558,-0.29860728042721324
1355,1.6315652619457195,0.017613936463743495,-0.04833416525708421,-0.0589049971978499,-0.04816330522530922,-0.031038390227090273,-0.09565097799663555,0.025848515601281423,-0.3647267101683573,-0.5265096809372944,0.2925159860688419,-0.03794680580127123,0.14848322042219753
1210,1.967690432926151,0.005522169067820215,-0.0017620500287693797,0.2191379201441575,0.07924146324629364,-0.004980094478149943,-0.20137721533720665,-0.04046431083938476,0.37792222218044214,-0.5788497281597944,-0.16265730180649265,0.2928939111489212,-0.3753151884122339
898,0.6940675752618404,-0.06646849697370075,-0.20730921028956084,-0.03389948032775851,-0.0796495736451244,-0.04325963784241016,-0.09670616805447671,-0.007507472322441658,-0.1555220503616381,-0.509841343007672,-0.2529863201437393,-0.24629880105779933,0.03513749308761441
1486,1.495677384885254,-0.027086858318029605,0.12373904582106307,0.13360173622074403,-0.12185094645407431,-0.011607572860706905,-0.19695939965622794,-0.00784284417367347,0.03600432502554645,-0.49343790042420765,-0.3623085700346165,0.22267293998647694,-0.1576252064475872
