sample_id,f_x,Q2i,Q2mbr,P,DO,pH2i,COD2i,NH3-N2i,pHO,CODo,NH3-NO,TempO,pHMBR
715,131.83665,0.913,0.6871252,8.512993,2.2840564,-0.43945503,-29.851404,-3.801869,-4.333727,-47.465996,0.24892147,2.7864182,2.840332
354,449.7286,-7.5429044,1.0131565,8.583439,3.2975864,-0.9810424,55.424324,-0.41289967,17.524197,155.39752,8.071951,2.9551344,6.9417853
811,115.277405,0.7991103,-1.6671757,-35.54702,1.0704001,-0.5097542,19.309584,-14.773948,4.7141957,-61.415684,-1.1635395,2.725737,2.2791743
1290,111.20866,1.9537483,0.035054617,-7.0920568,2.3637834,0.39358366,-24.324413,1.0626193,3.7623792,-55.575653,1.0048586,-16.281723,4.450176
429,342.606,-6.2016106,0.6523796,-10.021878,2.1899338,-0.001146514,38.142185,1.6313444,3.431108,126.5637,-17.541576,2.7661579,1.5390515
937,85.28907,1.390434,0.18770005,-13.192782,2.0956373,1.0724444,-24.014734,1.6209546,0.29253685,-76.21384,2.3586013,-8.906629,-0.8575749
292,450.5517,-7.329652,0.8969749,15.857133,1.4188831,-1.596582,59.550556,-0.2509911,-0.09882271,159.74849,10.23774,3.225925,9.4356165
554,137.33678,1.2489177,-0.1804059,9.0023575,2.0630062,1.9422444,-35.81073,8.977276,-2.1802437,-34.56716,3.5103934,-15.900242,-0.22493166
1231,118.738106,2.0011573,-0.014444101,-11.074853,2.662786,-0.4642835,-16.609306,-2.6462817,2.9687934,-64.62888,0.4384396,3.2055345,3.4431522
925,89.234055,-0.40960532,-0.063125245,-10.246586,2.0679176,0.9878027,-27.794615,0.5968001,-1.3770527,-56.873856,-0.78580207,-16.39417,0.07005277
793,112.88613,-0.5769986,-0.15238169,-19.037348,2.0845711,0.9224704,-15.86318,-4.191174,4.8784776,-61.05002,-1.6117007,4.1935773,3.8335268
233,498.6072,-0.045602262,0.9651777,10.348902,-1.0595005,8.4427,57.067146,3.7311592,0.9113781,194.76688,9.918881,3.4570312,10.646663
544,128.19409,0.9455948,0.35142806,10.14173,1.2646854,0.8465461,-38.36025,9.760526,-1.5752364,-38.095474,0.2825863,-17.497082,0.67273664
196,383.30185,-2.6679008,-4.254577,3.760663,4.382492,-0.6327947,53.456043,-0.90719056,3.757846,129.51569,-8.538974,3.1523798,2.8218415
839,110.82026,2.4634223,-1.5560015,-14.621738,2.6721187,-0.10300499,-10.733794,-3.1541488,0.3619749,-61.16462,-1.7131658,1.5742558,-2.6613488
1344,89.6576,0.5383497,0.13213776,-13.613243,2.523041,0.47579423,-7.615521,-1.9158933,-0.21838602,-81.24159,-0.4227017,-8.460012,0.01931259
81,363.93097,-10.351229,0.5759101,6.150549,0.48740217,-1.5790713,37.73683,-1.4623493,-7.3097835,134.48657,-2.0979009,3.0893984,4.7483377
1565,80.48056,1.0666373,-0.4640061,-11.248769,3.1490445,1.2666662,-20.669556,1.3469722,1.8323634,-79.68652,-0.6888372,-14.1121,-0.76763374
1041,94.27141,1.3006791,0.70600975,-12.825007,1.2936145,0.3852099,-27.63723,-1.0272429,-2.2780843,-69.63418,2.110258,2.78274,-0.36168426
1233,126.97559,2.5800037,0.015116567,-11.520492,2.097263,0.32809967,-15.996215,-4.3356795,2.6117823,-55.471046,1.2750391,2.5736146,3.3618195
111,359.2279,-5.9704185,1.0778202,9.645715,4.1094346,-1.4386448,44.57146,-1.1062467,-7.4323792,129.70288,-2.9484217,2.846522,-13.286082
1362,80.06162,1.0280038,0.21406539,-9.233344,-2.70479,0.8237677,-19.830801,-1.6867012,-1.111452,-90.55581,1.6552662,1.1949129,0.81219494
