sample_id,f_x,Q2i,Q2mbr,P,DO,pH2i,COD2i,NH3N2i,pHO,CODo,NH3NO,TempO,pHMBR
1331,3.0981212538373573,-0.018801659508462725,0.006355856233580286,0.18161085815765593,0.04705569037719138,-0.0015286104930584562,-0.06133734442382745,-0.04118655543445575,-0.01162681640432945,-0.4851406823356094,0.5963051625190955,-0.06136428375476577,0.018075240522971263
597,1.257762878068804,0.0025984591755154863,0.037450409315423414,0.12699564363818241,0.036212102030101126,0.022397744886209107,-0.14392348134759123,-0.0291785482942561,0.1333637586415113,-0.9876263400815208,-0.8264603815421961,-0.0654145340084364,0.021643647274490134
493,3.3611669850667987,0.029813104538319167,0.021614508295016027,-0.15563978547597343,-0.025034830855580503,0.007935535380957408,0.3477825524404009,0.014565058765693955,0.04311386418661793,0.31373162867970456,0.19660422154049365,-0.23723580009304637,-0.12578747071717603
707,1.4783439476227958,0.0013854057586705254,-0.009624503411465748,0.07592522765540559,0.020368032852282048,0.019742196792525986,-0.08130611443865841,-0.03586688035105781,-0.026390984031801505,-0.6659722841108361,-0.8197939177281698,0.03688381838859615,0.033289551865935456
500,3.0185352677697024,-0.06001442239668353,0.0035088097991222726,-0.11657226078873256,-0.02308358224078111,0.011143276256770633,-0.19739643849259492,0.011321553451877873,-0.038806125086913,0.6920490739781264,0.13996972716799513,-0.2023294532421354,-0.13095928901771958
816,1.859206875832109,-0.004154636649335368,0.007515547770748701,0.03453717044532574,0.09038932384273994,0.0256475417772315,-0.07178170479098982,-0.07343319380679812,-0.0021614358382750086,-0.7461407836552544,-0.3759218726102642,0.03916213583492258,0.005844385130686899
1355,1.29594233072277,-0.02539138658088392,-0.05993556048041448,-0.043032986680877135,-0.14594361302665707,-0.001807115435881091,-0.11533114461266429,-0.053870467072204616,-0.02762424072855943,-1.1174344018579825,-0.04692543728653349,-0.017674130243602395,0.021208416347659426
1210,1.680855943203519,-0.004481700955190229,0.008632931209293144,0.0240377353205182,0.029676822893057602,0.004043743173514286,-0.13664024398513708,-0.036465800084862894,0.03701354193523549,-0.7872737684085203,-0.44012375520032165,0.047038344991627824,0.00569369393293326
898,0.9675068534726321,0.074980055895068,-0.00015635400488384852,-0.1116219010344831,0.013940106309331155,0.02769410066743751,-0.14044151943878525,-0.054162629283761206,-0.02962778424284114,-1.1337116297447425,-0.49207304531880663,-0.13629593529724876,0.01927899058497542
1486,1.515414911429146,-0.016086173631912833,0.018188126841198728,0.10235651594401761,-0.12893146931477065,0.026558643085817506,-0.16562466120877206,-0.0029736060197698097,-0.030724428371502903,-0.7235544766949684,-0.5625542174281849,0.06867203367339,0.0003842261732336161
