sample_id,f_x,Q2i,Q2mbr,P,DO,pH2i,COD2i,NH3-N2i,pHO,CODo,NH3-NO,TempO,pHMBR
1331,126.64155101440883,1.2111900176744637,0.07158692892551385,-20.95159036413325,-1.6830444302987402,0.04277644715031563,-11.30606923169115,-1.5804574196351477,2.3318399779352985,-23.507682584316385,4.703815946923878,-0.08264768270152664,4.021970883228533
597,99.03448503060604,2.3554386498129434,5.4990550309035005,12.94328674373458,0.3967703392051636,-2.907820613803387,-11.616637774351611,1.0578727885867196,-30.773502702405267,-40.86272280844551,-3.214236384895423,-3.170779701562049,-4.042101061520679
493,278.10014066236437,-4.575047220543042,-10.308493345537604,32.774846032981166,7.6742073099562065,-13.891198378209314,22.706468319804454,2.2607958895091635,16.956096516672222,51.646919429283834,3.4628298517001213,1.8373436746550886,-5.814489943254881
707,133.87988046244928,-2.0684721741636967,-3.3401719267313945,19.853388619848175,0.5818217187207108,-1.5903117002774096,-10.857114445744434,-1.992665715461203,-21.16629015773353,-15.686068595330037,-3.1548965007316547,2.1148935548434205,-2.1840947401366653
500,309.8529042858853,2.476213070686822,3.296501776112836,33.305347199273136,11.261406468515816,6.347580860038987,-3.8450539466053497,2.300052059416619,16.49476388466311,69.6631869781625,3.0031775601178645,2.116002606744008,-9.936136756588027
816,142.7166579136043,-1.2369432585086042,-4.68006590775809,-34.89957131568433,9.135028730260784,-1.4893673486637706,3.037654631085024,-2.6720272425938107,13.868371851527115,-14.395610804350778,-1.0365982185566385,1.792440339455969,1.9234839320443502
1355,81.8574792919845,2.510402732434314,-0.7002165246597627,-19.338014576950417,-5.8750531856325265,-0.4840009098972892,-7.293636352561326,0.4886780775795792,-13.877236896407021,-48.653178257415234,1.441213179047777,-1.116837158570424,1.385496639669795
1210,127.89998115941393,-1.4576593307904637,-0.5823638738282991,-27.242282605174417,5.979188045070006,2.0034290900982668,-8.960308029244851,-0.8896880404120914,14.875289503145927,-30.161785532143465,-0.8548958172096299,2.157163410190029,-0.33596818563409026
898,78.30550871800924,-5.055114002065383,-4.3860559085893955,-26.19310188352848,-1.6629554367555492,-4.165619861158208,-9.131093743847577,0.5455440760107709,-0.15109069134367098,-41.775812267392915,-1.3783089544985452,-3.3488354890405985,1.6380903548717527
1486,120.2939904231948,0.49693864984349145,-0.45073330355589397,5.079972396545375,-21.778952916987215,-1.98041618814824,-11.389321137609908,-0.11638506058200057,9.777905356038508,-24.99177752422189,-1.8399674567107318,-5.163726201444506,-0.7194087153192197
1506,86.90353168232554,0.587703344427004,-1.2426959635099906,-5.22737637071719,-23.11859234758922,-1.927817483248392,-10.125965294896522,0.3823263708683619,10.537436215609144,-41.62053403909709,-1.867559077549382,-8.977068579646104,-3.8661876176720726
664,110.42939279947342,-1.4210008572790396,-2.081076337126731,13.889977707330454,-1.4360274839932665,-2.812887653047612,-6.862958006263582,-1.645599816708751,-24.850313259329482,-33.90115495891813,4.0123963511210325,-2.224275660509316,-3.6075497511492207
1058,85.12188722866593,-0.9326936472414854,-3.1135368022990653,-20.183259839854095,-2.617252537833339,-0.5491594259386264,-10.865815189033238,-0.14799345282468793,-17.22267666963926,-35.81262043830087,3.1704118853208443,-0.1814664206680824,0.2080872416307848
277,362.981633417991,2.3598949538176486,6.365135873574489,25.701611878580604,-0.3977352909146582,-0.496168717631258,20.65151661754512,1.2095778307971337,27.761116627216648,107.1771362549973,3.9108537788577236,4.373846333878074,-9.00501524807469
1276,111.42095924707371,-1.6012415524261268,1.130760708336806,-22.59791142610677,-1.7491974528179224,-5.657014310022831,-8.265187628193816,-0.55480957408063,5.029205539540946,-31.42090640273391,0.10687902176421034,0.6320859323040615,2.998433866162697
1399,78.28175028224999,0.8625457842795011,1.1796265865739202,-15.121975686953977,-7.3656284426491325,-2.5166030387216267,-9.47979722985976,-0.10480521237352605,-17.285874350453078,-46.305668477539896,-0.8653882681491449,-1.9765409730029853,3.8919970657526397
1429,67.41870793715388,1.092189182045778,-2.975285423792557,-20.419560829642997,2.9167861974304836,-1.8954200079379624,-9.66090088587949,0.32451624981673993,-14.106238243020158,-62.729651558089586,1.8577390652472467,-0.29635337301710296,-0.05897496135357372
236,431.132170997885,2.6363534401686364,7.72835408756575,30.94764570145525,9.345473353185202,9.117041539075064,36.37905782203628,1.7973682440039382,30.01052958950961,120.85402461629012,-1.1060710652324928,5.558374729277159,4.494156415203347
672,121.20402829174984,1.3153947268515254,0.04512609335396718,19.116822501479326,-3.7040861670099736,1.823325566992419,-13.31574185056446,0.17717584536267558,-26.53501955332498,-30.969717648534782,3.8233802307958498,-0.6301359237211553,-3.3123580552776217
1336,120.27522629640092,1.2929623265774564,1.0550521776819917,-11.673940532150167,-8.410818791691318,0.026491011587150125,-14.57824605595359,-0.5602682052445929,7.0430283343512885,-32.1713422958827,2.7270897283972917,-0.7266935882741347,2.8820496616552127
1544,89.71910753051961,-1.0931225239205038,-1.7700039986938958,-23.887825284000023,-4.359970749458576,-1.9969336964868518,-7.480265319870911,-0.24373237801114342,11.211411693840393,-47.854210837083556,-3.0816777242111897,-2.7820674161724153,-0.3123567607587816
344,343.946601620434,3.2803280331767533,-18.761119874893758,30.363296551475674,10.0072980777962,5.967265742396512,13.69611753369092,1.7810082249619144,-1.2626725167828177,108.70502025818917,5.6305586034829425,4.614239647746027,6.555398813847591
