Date,CODMBR,resid,upper_threshold,lower_threshold,trend_aware_flag
2021/4/1,349,-7.178466273,21.00084586,-21.40210853,0
2021/4/2,353,2.809902646,21.00084586,-21.40210853,0
2021/4/3,360,6.978644048,21.00084586,-21.40210853,0
2021/4/4,346,0.424305764,21.00084586,-21.40210853,0
2021/4/5,339,-0.200631336,21.405233,-20.99772139,0
2021/4/6,325,-24.8999845,21.405233,-20.99772139,1
2021/4/7,334,-9.507090873,21.00084586,-21.40210853,0
2021/4/8,351,-0.87672087,20.32475633,-22.07819807,0
2021/4/9,342,-4.351696574,20.32475633,-22.07819807,0
2021/4/10,338,-5.983935319,20.34475096,-22.0981927,0
2021/4/11,356,16.75693256,20.34475096,-22.0981927,0
2021/4/12,346,3.830922938,20.34475096,-22.0981927,0
2021/4/13,362,1.059829485,22.31989042,-24.07333216,0
2021/4/14,351,-1.523751564,22.9597833,-24.71322504,0
2021/4/15,374,11.22479932,22.31275261,-25.36025574,0
2021/4/16,354,-4.286274113,25.19880376,-29.36336819,0
2021/4/17,344,-8.228634283,25.56619222,-29.73075665,0
2021/4/18,323,-19.72491904,26.12472287,-29.172226,0
2021/4/19,346,-2.082282215,26.12472287,-29.172226,0
2021/4/20,385,13.21429252,27.72008541,-27.57686346,0
2021/4/21,374,13.71544765,28.70830392,-26.58864495,0
2021/4/22,366,-6.158929923,28.70830392,-26.58864495,0
2021/4/23,378,11.9137305,27.72008541,-27.57686346,0
2021/4/24,389,28.5886966,26.12472287,-29.172226,1
2021/4/25,331,-12.87286365,25.56619222,-29.73075665,0
2021/4/26,315,-30.88082742,25.56619222,-29.73075665,1
2021/4/27,365,-3.277772129,25.56619222,-29.73075665,0
2021/4/28,356,2.170298484,25.57818283,-29.71876604,0
2021/4/29,370,5.039362136,25.57818283,-29.71876604,0
2021/4/30,361,0.071610977,25.43225005,-25.2890281,0
2021/5/1,362,3.258889382,23.29034747,-27.43093067,0
2021/5/2,357,17.85297027,23.29034747,-27.43093067,0
2021/5/3,334,-4.701334033,24.14566557,-24.73741352,0
2021/5/4,351,-5.02530491,21.82704845,-22.4187964,0
2021/5/5,325,-13.09249965,20.05263083,-24.19321403,0
2021/5/6,352,1.52893293,21.82704845,-22.4187964,0
2021/5/7,345,-6.120762147,22.1945334,-22.05131145,0
2021/5/8,357,-2.0702916,22.730843,-21.51500186,0
2021/5/9,345,-4.543744382,22.1945334,-22.05131145,0
2021/5/10,375.1,29.32157152,21.82704845,-22.4187964,1
2021/5/11,365,-2.153551614,23.29034747,-27.43093067,0
2021/5/12,354,6.06510818,23.71003102,-28.01713425,0
2021/5/13,364,-0.295873973,23.7519801,-30.16862539,0
2021/5/14,375,0.607920568,23.7519801,-30.16862539,0
2021/5/15,384,-3.208322648,25.72416756,-32.14081286,0
2021/5/16,378,8.275220121,32.31004205,-36.61714527,0
