bin_left,bin_right,count
-4.277227900955089,-3.84830425027886,2
-3.84830425027886,-3.419380599602631,1
-3.419380599602631,-2.9904569489264023,3
-2.9904569489264023,-2.5615332982501733,1
-2.5615332982501733,-2.1326096475739442,4
-2.1326096475739442,-1.7036859968977156,5
-1.7036859968977156,-1.2747623462214865,14
-1.2747623462214865,-0.8458386955452575,20
-0.8458386955452575,-0.4169150448690284,107
-0.4169150448690284,0.012008605807200645,663
0.012008605807200645,0.44093225648342926,310
0.44093225648342926,0.8698559071596579,55
0.8698559071596579,1.2987795578358874,34
1.2987795578358874,1.727703208512116,17
1.727703208512116,2.1566268591883455,10
2.1566268591883455,2.585550509864574,9
2.585550509864574,3.0144741605408027,3
3.0144741605408027,3.4433978112170323,4
3.4433978112170323,3.8723214618932618,2
3.8723214618932618,4.30124511256949,2
4.30124511256949,4.730168763245719,1
4.730168763245719,5.159092413921948,0
5.159092413921948,5.588016064598176,1
5.588016064598176,6.016939715274405,1
6.016939715274405,6.445863365950635,0
6.445863365950635,6.874787016626864,0
6.874787016626864,7.3037106673030925,0
7.3037106673030925,7.732634317979321,0
7.732634317979321,8.16155796865555,0
8.16155796865555,8.59048161933178,1
