NH3N2i_raw,DO_raw,interaction_shap_value
289.0,9.03,-0.0036968812
155.0,7.0,-0.0048823915
201.8,3.0,-0.0078104325
287.0,7.8,0.0029273555
250.0,6.4,0.0048644766
185.0,7.54,0.0048879273
195.0,8.65,-0.0010741837
161.0,10.7,-0.0077627376
120.0,0.0,0.01195056
192.0,10.5,-0.003162153
234.0,1.18,-0.010962471
155.8,4.3,0.0002046898
233.0,9.5,0.007900208
161.7,6.2,0.0020972919
154.3071429,3.8,0.002681151
264.0,0.6,-0.009456292
152.0,5.0,0.0029859096
156.3,5.9,0.0020159371
135.0,2.1,0.0015694238
184.0,10.5,-0.0077764355
282.0,3.8,-0.0068070516
173.0,6.0,0.004196915
147.0,5.1,-0.0025681457
150.0,0.0,0.010683769
211.0,7.7,0.00080001727
433.0,2.4,-0.006927952
143.5,2.1,0.006546721
251.0,8.88,0.0005049957
153.0,6.0,0.00034530088
466.0,8.85,0.007877504
169.2,3.8,-0.009352438
422.0,7.49,0.0010616425
91.0,0.1,0.016227849
152.0,9.2,-0.0063092373
165.3,4.5,0.0036715358
184.0,7.3,0.0038522165
505.0,6.17,0.002414951
116.6,1.5,0.023615122
150.0,2.4,0.005844461
163.0,5.1,0.0027330108
260.0,4.7,0.00022457913
264.0,0.0,-0.012549788
187.0,2.2,0.0034433082
387.0,9.05,0.010320557
149.0,4.3,0.0002503246
157.0,10.5,-0.0077848434
163.8,5.9,0.002167698
228.0,7.6,0.031369977
145.0,2.1,0.010504872
236.0,9.24,0.009061344
200.0,4.9,0.0032251189
454.0,7.24,0.0019963263
186.0,10.35,-0.0077021345
158.0,8.0,0.0042790025
179.0,6.5,0.0041718334
260.0,4.2,-0.006695995
288.0,8.9,0.008474744
225.0,7.3,0.0002626842
351.0,1.1,-0.012785181
178.0,10.6,-0.009368584
153.6321429,5.7,-0.004836686
163.0,4.2,0.004191324
185.0,7.7,0.0042238235
144.0,5.3,0.0024564322
142.4,1.5,0.020959467
163.5,4.6,-0.0016689696
180.0,10.03,-0.007711258
113.0,6.0,0.0014163419
268.0,8.7,0.00765503
421.0,8.66,0.008068893
215.0,6.0,0.0009901356
136.3,2.8,0.0063065924
154.5321429,4.8,0.001717906
175.0,11.92,-0.008108586
195.0,11.09,-0.003510408
153.0,3.3,0.004547525
186.0,5.5,0.004081104
179.0,9.86,-0.007689148
175.0,11.43,-0.0081085935
208.0,10.11,0.0044049844
215.0,4.0,-0.003912747
177.0,7.8,0.0050856266
175.0,7.7,0.0049549304
284.0,5.6,0.031412378
171.0,2.4,-0.0054447316
164.0,0.6,-0.00028793514
374.0,6.4,0.002212789
215.0,10.5,0.00806817
316.0,9.4,0.0094846785
184.0,9.5,-0.008590154
186.0,7.17,0.004838314
239.0,10.56,0.0059225187
265.0,8.3,0.007521443
172.0,2.6,0.00092382915
224.0,9.2,0.0025812536
132.0,4.5,0.00011361018
260.0,9.6,0.014806904
256.0,9.5,0.008600235
154.5,6.3,-0.003811378
195.6,3.8,-0.0058534667
135.6,3.7,0.006443307
253.2,7.2,0.03265328
187.0,4.0,0.0030683968
316.0,7.6,0.004541453
305.0,2.5,-0.005206326
185.2,4.4,0.003588814
102.0,2.6,0.0037841331
280.0,8.2,0.003584018
180.0,6.1,0.005048804
296.0,7.6,0.0040105265
169.0,0.0,0.009768691
174.3,5.0,0.0035860706
336.0,8.82,0.0111236945
194.0,6.8,0.003884023
109.1,7.4,-0.006326532
347.0,3.3,-0.003360169
145.0,8.5,-0.0034745391
166.0,2.4,0.0007372312
287.0,2.5,-0.004686365
172.0,5.9,0.0076020285
278.0,2.2,-0.0072071627
303.0,1.3,-0.012785185
215.0,11.8,0.007491559
165.0,11.72,-0.008099496
150.2,4.5,0.0030366983
204.0,10.9,0.0032776967
229.0,0.7,-0.012229544
146.0,3.1,0.004404135
261.0,6.7,0.002235298
202.0,9.71,0.0045811087
231.0,1.96,-0.006939497
123.8,3.1,0.0010483097
328.0,1.7,-0.0044914633
378.0,5.4,0.033453237
129.0,2.5,0.0013932567
155.8,3.8,0.0026811538
156.3,7.7,0.0021824082
113.0,2.4,0.0037546782
240.0,7.6,0.0044858903
128.6,3.4,0.0034519173
112.0,3.6,0.003593713
223.7,5.3,0.002510474
198.3,5.1,0.0025305583
230.0,10.19,0.012898225
293.0,8.3,0.009728365
262.0,6.6,0.0018674415
241.0,9.91,0.01303776
352.0,1.4,-0.012785189
205.0,9.87,0.009057224
286.0,2.8,-0.00428625
254.0,5.8,0.0051279934
135.0,3.2,0.002017403
195.0,8.31,0.0025198814
143.0,6.2,0.0020418977
268.0,7.3,0.0015896689
228.0,10.44,0.0076171085
184.0,4.7,0.0037099023
143.0,4.1,0.0009943619
146.0,5.6,-0.0013427539
142.0,2.3,0.0014418084
272.0,4.9,-0.0055406885
194.0,7.7,0.0032567382
161.0,7.0,0.0038014946
268.0,6.7,0.0020859968
142.0,0.1,0.0138230845
185.0,1.5,0.0025759004
102.0,4.7,-0.0005442677
170.0,10.2,-0.007825196
162.0,8.1,0.00345885
185.0,9.3,-0.0077165887
282.0,7.6,0.0010372922
378.0,2.3,-0.006927952
196.7,7.2,0.0065705627
197.0,9.49,-0.0010002553
258.0,1.9,-0.0071312357
151.0,7.6,0.0030094339
274.0,6.2,0.0024815705
112.3,5.0,-0.0017922658
185.0,3.2,-0.006151775
153.0,2.8,-0.0005408544
163.1,5.0,-0.0006711045
165.2,7.7,0.0076875146
278.0,6.0,0.0018299222
320.0,6.3,0.004365094
124.0,3.8,0.0037454776
376.0,2.9,-0.0062951446
351.0,2.6,-0.0047074053
155.0,6.3,-0.0038388972
247.0,2.04,-0.00690493
141.3,7.0,-0.00084746163
214.0,7.4,0.00047555007
258.0,8.2,0.006991272
484.0,3.5,-0.0073541068
224.0,1.61,-0.0014193393
132.0,6.1,0.0015241471
181.0,10.5,-0.008723192
200.0,10.95,-0.003510408
162.0,5.6,0.001449727
154.7,6.3,-0.004892515
185.0,5.2,0.0035476554
143.0,2.5,0.014633276
42.0,6.3,0.0020418959
131.7,4.2,0.0010758359
163.2,4.7,-0.00054628775
129.0,4.8,0.00037083775
202.0,7.17,0.0016358802
191.0,7.85,0.0036715958
366.0,7.3,0.0051421225
149.0,3.0,0.006416805
201.0,8.38,-0.0010761181
143.3,7.7,-0.006491186
217.0,6.8,0.0009992309
120.5,6.1,-0.0016244166
210.0,10.8,0.008566768
254.0,9.3,0.00803975
195.0,12.71,-0.0028615072
289.0,4.9,-0.004011357
145.0,6.5,0.0013777902
195.0,5.7,0.0029947022
121.0,6.9,0.00056902226
295.0,7.9,0.0046366565
258.0,4.8,-0.005739864
138.0,6.3,0.001407248
213.0,10.5,0.008008428
162.7,3.2,0.003255386
188.0,3.0,-0.0018849485
162.0,2.5,0.011643071
192.0,2.9,0.0025706422
121.8,3.5,0.0034519099
146.5,4.8,0.0013037572
149.0,1.4,0.031775996
131.2,4.3,-0.0046313144
164.0,10.3,-0.008523233
168.6,7.9,0.007687511
156.6,3.8,0.0010994412
210.0,3.0,-0.0036875326
203.0,8.81,-0.0029226653
151.4,3.6,0.0047077313
235.0,9.02,0.0049554035
287.0,11.5,0.008571282
342.0,1.0,-0.012836672
121.4,4.9,-0.0015519448
480.0,8.96,0.010391649
184.0,4.6,0.0019454034
186.0,5.5,0.005057891
263.0,8.2,0.0028748736
274.0,7.6,0.0019380525
260.0,6.3,0.0021100212
87.0,4.3,0.0011764579
264.0,6.7,0.0020983452
