feature_value_original,partial_dependence
42.0,2.9183748
80.72413793103448,2.9183748
119.44827586206897,2.9241545
158.17241379310346,2.8887913
196.89655172413794,2.9441907
235.6206896551724,2.7637289
274.3448275862069,2.7355824
313.0689655172414,2.7046473
351.7931034482759,2.7074904
390.51724137931035,2.7471428
429.2413793103448,2.7471428
467.9655172413793,2.7471428
506.68965517241384,2.7471428
545.4137931034484,2.7471428
584.1379310344828,2.7782166
622.8620689655172,2.7782166
661.5862068965517,2.7782166
700.3103448275863,2.7782166
739.0344827586207,2.7782166
777.7586206896552,2.7782166
816.4827586206897,2.7782166
855.2068965517242,2.7782166
893.9310344827586,2.7782166
932.6551724137931,2.7782166
971.3793103448277,2.7782166
1010.1034482758621,2.7782166
1048.8275862068967,2.7782166
1087.5517241379312,2.7782166
1126.2758620689656,2.7782166
1165.0,2.7782166
