feature_value_original,partial_dependence
0.0,3.0772676
0.4417241379310345,3.0680413
0.883448275862069,3.0916526
1.3251724137931036,3.0913684
1.766896551724138,3.052292
2.2086206896551723,2.9992366
2.650344827586207,2.9826188
3.0920689655172415,2.9773042
3.533793103448276,2.9793143
3.9755172413793103,2.9789364
4.417241379310345,2.9454846
4.858965517241379,2.9459493
5.300689655172414,2.9490986
5.742413793103449,2.930993
6.184137931034483,2.9336278
6.625862068965517,2.9341214
7.067586206896552,2.9341214
7.509310344827586,2.95505
7.951034482758621,2.9556499
8.392758620689655,2.9430363
8.83448275862069,2.9430363
9.276206896551724,2.7950587
9.717931034482758,2.7915409
10.159655172413792,2.7891333
10.601379310344829,2.7780695
11.043103448275863,2.7780695
11.484827586206897,2.7780695
11.926551724137932,2.7780695
12.368275862068966,2.7780695
12.81,2.7780695
