特征,CODMBR_before,NH3NMBR_before
CODo,92.66629,0.9128101
COD2i,31.655504,0.26665753
P,10.229868,0.110791735
TempO,7.135647,0.04938548
pHMBR,3.9232042,0.038956337
pHO,3.3064792,0.049472135
NH3-N2i,3.0046139,
NH3-NO,2.9499195,
DO,2.7871335,0.06449872
Q2i,2.4636552,0.01654921
pH2i,1.2199689,0.025280537
Q2mbr,0.69678813,0.013262515
NH3NO,,0.6415211
NH3N2i,,0.06390292
