显示名,贡献值,占比(%)
CODo,0.87894,38.141117
NH3NO,0.64266163,27.887949
COD2i,0.27917796,12.114775
P,0.108746,4.7189727
NH3N2i,0.07379529,3.202306
DO,0.07226878,3.1360638
TempO,0.06280634,2.7254465
pHO,0.060310036,2.6171207
pHMBR,0.04469216,1.9393917
pH2i,0.03145568,1.3650019
Q2i,0.028549716,1.2388992
Q2mbr,0.021038642,0.91296035
