显示名,贡献值,占比(%)
CODo,0.6806396665344749,25.945115894442118
NH3NO,0.6031833024150418,22.99257809412129
pHO,0.28757676664534315,10.962059524317258
pHMBR,0.2109082064266148,8.039551803803487
TempO,0.1952833272986846,7.443951341851474
COD2i,0.19021876394427245,7.250896646914278
P,0.15934916043135375,6.074186736902609
DO,0.10647811985286766,4.058810110011451
Q2mbr,0.05451488161603188,2.0780377504314886
NH3N2i,0.04998840253129977,1.9054941414980024
pH2i,0.04434032997064916,1.6901968199175301
Q2i,0.04090171322678953,1.55912113578902
