显示名,贡献值,占比(%)
CODo,92.66629,57.18762
COD2i,31.655504,19.535723
P,10.229868,6.3132105
TempO,7.135647,4.403658
pHMBR,3.9232042,2.421147
pHO,3.3064792,2.0405443
NH3N2i,3.0046139,1.8542526
NH3NO,2.9499195,1.8204987
DO,2.7871335,1.7200378
Q2i,2.4636552,1.520408
pH2i,1.2199689,0.75288564
Q2mbr,0.69678813,0.4300124
