显示名,贡献值,占比(%)
CODo,0.6760563320346037,25.645373558765026
NH3NO,0.6034288581468246,22.890338792836356
pHO,0.28890255064555703,10.959166392374112
pHMBR,0.2132282445728657,8.088553758373731
TempO,0.2038507752311144,7.732830880102147
COD2i,0.19028655564500202,7.218288730527007
P,0.1611004453081443,6.111149181869192
DO,0.1040808382845208,3.9481798359656914
Q2mbr,0.05630103949499554,2.135711361878111
NH3N2i,0.050847720140650365,1.9288463339942115
pH2i,0.046414932604736114,1.7606939376945792
Q2i,0.04167439020912806,1.5808672356198343
