显示名,贡献值,占比(%)
CODo,91.33308,55.189278
COD2i,31.909773,19.281921
P,11.925862,7.206367
TempO,7.1353345,4.3116245
pHMBR,4.2999616,2.5983112
pHO,3.9531217,2.3887284
NH3NO,3.5576632,2.1497672
Q2i,3.1440983,1.8998649
NH3N2i,2.8604474,1.7284648
DO,2.826341,1.7078556
pH2i,1.300349,0.78575385
Q2mbr,1.2445971,0.75206494
