显示名,贡献值,占比(%)
CODo,0.9128101,40.51373
NH3NO,0.6415211,28.47297
COD2i,0.26665753,11.835201
P,0.110791735,4.917328
DO,0.06449872,2.8626807
NH3N2i,0.06390292,2.836237
pHO,0.049472135,2.1957479
TempO,0.04938548,2.1919017
pHMBR,0.038956337,1.7290195
pH2i,0.025280537,1.1220393
Q2i,0.01654921,0.7345122
Q2mbr,0.013262515,0.5886372
