lag,acf,ci_low,ci_high,is_significant
0,1.0,1.0,1.0,1
1,-0.10534579798854271,-0.1608708622513759,-0.04982073372570953,1
2,-0.17704816186774203,-0.23318604689948308,-0.12091027683600096,1
3,-0.028325134449040043,-0.08615889573093362,0.029508626832853532,0
4,-0.016902230433701957,-0.07477874605125003,0.04097428518384612,0
5,-0.06297768859232812,-0.1208694204275767,-0.0050859567570795405,1
6,-0.08577388985502883,-0.1438764577650612,-0.027671321944996483,1
7,-0.009360413459027977,-0.06785206354240939,0.04913123662435344,0
8,0.02505122898676451,-0.03344503913126903,0.08354749710479806,0
9,0.01319303733419504,-0.045336297062629774,0.07172237173101985,0
10,-0.031897655489846265,-0.09043615758102945,0.02664084660133692,0
11,-0.04284087343359414,-0.10143293735637693,0.015751190489188653,0
12,-0.005756524009521989,-0.06444508153243157,0.0529320335133876,0
13,0.0031461130973326106,-0.055544185185599684,0.06183641138026491,0
14,0.03947697665954066,-0.019213841569773737,0.09816779488885506,0
15,-0.036139721014427105,-0.09491234675393426,0.022632904725080047,0
16,0.05273619399094237,-0.00610490480649982,0.11157729278838456,0
17,0.07519213100135136,0.016205493612209777,0.13417876839049295,1
18,-0.05301598095221409,-0.11229738984666726,0.006265427942239089,0
19,-0.08053157745922612,-0.13995898162041295,-0.0211041732980393,1
20,0.04629860732035947,-0.013464302294947689,0.10606151693566662,0
21,0.005758150390579651,-0.05411523855234636,0.06563153933350566,0
22,-0.04450502500768274,-0.1043801212280984,0.01537007121273292,0
23,-0.04935212350075349,-0.10932912122849986,0.010624874226992875,0
24,0.08941476055568877,0.029312693007930497,0.14951682810344705,1
25,0.03623121341692574,-0.02427958077471059,0.09674200760856208,0
26,0.0037902813556763286,-0.056787358190656424,0.06436792090200909,0
27,-0.013200735073476782,-0.07377910576911288,0.04737763562215931,0
28,-0.04171988928249819,-0.10230712796405736,0.018867349399060984,0
29,0.01563842880928975,-0.04503731454201299,0.0763141721605925,0
30,-0.029287551907304338,-0.08997572049910495,0.03140061668449627,0
31,0.0017506321756336947,-0.05898109606986971,0.062482360421137105,0
32,0.052851263275685643,-0.007880620549097293,0.11358314710046857,0
33,0.037808782053626415,-0.023064735280340816,0.09868229938759365,0
34,-0.015250545499455037,-0.07619641925593035,0.045695328257020267,0
35,-0.018226801126737524,-0.0791844390906921,0.042730836837217054,0
36,0.012919965217140497,-0.04805447281627265,0.07389440325055364,0
37,-0.033584383036100215,-0.09456726069096688,0.02739849461876645,0
38,0.017909653383015606,-0.043130219969293324,0.07894952673532453,0
39,-0.02160380649512271,-0.08265987858817592,0.039452265597930504,0
40,-0.05172124746532857,-0.11280088231200405,0.009358387381346901,0
41,0.03497039253360183,-0.026244120103791124,0.09618490517099479,0
42,0.031409084237893216,-0.02986698950866542,0.09268515798445184,0
43,-0.021358910558048796,-0.08268460032950561,0.039966779213408014,0
44,-0.004228485419258499,-0.06557710564747565,0.05712013480895865,0
45,-0.0434642933831779,-0.10481381215640037,0.017885225390044578,0
46,0.03399820714413385,-0.027446174570718483,0.09544258885898618,0
47,-0.0007725200924285296,-0.062274871790178266,0.06072983160532121,0
48,-0.008271552299924184,-0.0697739339138361,0.05323082931398774,0
49,0.013099872660315525,-0.048405938590449935,0.07460568391108098,0
50,0.000875361574481087,-0.06063905100946065,0.06238977415842282,0
51,-0.009566493127652257,-0.07108094411556032,0.0519479578602558,0
52,0.023860828100410226,-0.037658209481773036,0.0853798656825935,0
53,0.02661656614749714,-0.034930997308273495,0.08816412960326778,0
54,-0.065940024005444,-0.12752306440315903,-0.004356983607728973,1
55,-0.0066856151916825065,-0.0684859505671763,0.05511472018381128,0
56,0.061471477492554674,-0.0003310876640141916,0.12327404264912353,0
57,-0.006880790028207209,-0.06887157187566309,0.05510999181924868,0
58,0.02761189019055319,-0.03438124626909521,0.08960502665020159,0
59,-0.00872589973003886,-0.07075694097613815,0.053305141516060424,0
60,-0.021455723252868226,-0.0834905487179325,0.04057910221219606,0
