lag,acf,ci_low,ci_high,is_significant
0,1.0,1.0,1.0,1
1,0.9895712314824846,0.9340684351428501,1.0450740278221191,1
2,0.9829200829781043,0.8874536203963231,1.0783865455598856,1
3,0.9753198880038448,0.8525750275782898,1.0980647484294,1
4,0.9698439290127654,0.8251820472035873,1.1145058108219434,1
5,0.964586945801496,0.8011177030916073,1.1280561885113845,1
6,0.961751729515555,0.7815999255532518,1.1419035334778582,1
7,0.9580983699025475,0.7627691551556379,1.153427584649457,1
8,0.9559888770807324,0.7466825984031332,1.1652951557583315,1
9,0.9528403467276151,0.7304895937084654,1.1751910997467647,1
10,0.9488634512299773,0.714271106800568,1.1834557956593865,1
11,0.9447144945861086,0.6985830602647294,1.1908459289074877,1
12,0.9407495940422307,0.6836904689456413,1.19780871913882,1
13,0.9369594978883514,0.6695047426922078,1.204414253084495,1
14,0.9325227810838693,0.6551406412073233,1.2099049209604154,1
15,0.9280575557909952,0.6411803095814029,1.2149348020005877,1
16,0.9232941618564587,0.6273126232030546,1.219275700509863,1
17,0.9176499320935793,0.6129250481894801,1.2223748159976784,1
18,0.9125738541252291,0.5994518011033394,1.2256959071471187,1
19,0.9079456319666154,0.5867348813914752,1.2291563825417555,1
20,0.9039666773991453,0.5749448539541263,1.2329885008441641,1
21,0.900816149648179,0.5642304167101346,1.2374018825862234,1
22,0.8981185165105874,0.5541860831960456,1.242050949825129,1
23,0.8957239837994738,0.544641112298105,1.2468068553008427,1
24,0.893764472081087,0.5357108698513131,1.251818074310861,1
25,0.8903044720334525,0.5254428854526039,1.2551660586143012,1
26,0.8857114321918766,0.5142177703294981,1.2572050940542552,1
27,0.8811315789285695,0.5031886651676801,1.259074492689459,1
28,0.8757164907808959,0.49149741751753095,1.2599355640442607,1
29,0.8706176527019145,0.480298382471762,1.260936922932067,1
30,0.8651477000074538,0.4688913324213682,1.2614040675935394,1
31,0.8616752362833836,0.4596421681215634,1.2637083044452038,1
32,0.8580094166343576,0.45032679151383065,1.2656920417548845,1
33,0.8547957403985358,0.44158778099096646,1.268003699806105,1
34,0.8506096652791693,0.4319897907755261,1.2692295397828124,1
35,0.8472080821781809,0.42329724606271063,1.271118918293651,1
36,0.8443119704949268,0.4152168615761756,1.273407079413678,1
37,0.8402790029594452,0.4060962698500226,1.274461736068868,1
38,0.8358670365906313,0.39670326199194617,1.2750308111893165,1
39,0.8320130575662008,0.38797540825593835,1.2760507068764633,1
40,0.8279347223996879,0.3791202356010372,1.2767492091983386,1
41,0.8232109529261114,0.36971592162381417,1.2767059842284085,1
42,0.8196053392005817,0.36153003010906887,1.2776806482920944,1
43,0.8150307596164006,0.35245996542356195,1.2776015538092391,1
44,0.8114342864310187,0.34446060513969357,1.2784079677223437,1
45,0.8083270549111101,0.33702984646663786,1.2796242633555823,1
46,0.8056673192889254,0.33011848941061084,1.28121614916724,1
47,0.8027048204682187,0.3229696101066951,1.2824400308297421,1
48,0.8000631181084483,0.31620807988863303,1.2839181563282636,1
49,0.797112191501554,0.3091988410442683,1.2850255419588397,1
50,0.7943476050210148,0.3024389358257475,1.286256274216282,1
51,0.7921506050254311,0.2963061406545056,1.2879950693963567,1
52,0.7901377580476826,0.29040998009921903,1.2898655359961462,1
53,0.7890316858853758,0.28547002265148347,1.292593349119268,1
54,0.787400403474184,0.28004442999347945,1.2947563769548887,1
55,0.7857913300404027,0.2746847120052126,1.2968979480755927,1
56,0.7823751935569047,0.2675604015900318,1.2971899855237776,1
57,0.7787469311931671,0.2602823137932737,1.2972115485930604,1
58,0.7756807701128136,0.253625264074111,1.297736276151516,1
59,0.7732866035922511,0.24769267421453212,1.29888053296997,1
60,0.7711378724183128,0.2420507743116631,1.3002249705249624,1
