lag,pacf,ci_low,ci_high,is_significant
0,1.0,1.0,1.0,1
1,-0.20537137899790497,-0.26089644326073813,-0.1498463147350718,1
2,0.0187120600393417,-0.03681300422349148,0.07423712430217488,0
3,-0.1268582873054231,-0.18238335156825627,-0.0713332230425899,1
4,-0.06852953893209188,-0.12405460319492506,-0.013004474669258699,1
5,-0.14397737173753633,-0.19950243600036952,-0.08845230747470315,1
6,-0.024366871678408602,-0.07989193594124178,0.031158192584424576,0
7,-0.0875783180144063,-0.14310338227723948,-0.03205325375157312,1
8,-0.006113994279906839,-0.061639058542740016,0.04941106998292634,0
9,0.05344160337800918,-0.002083460884824001,0.10896666764084235,0
10,-0.009794656816789184,-0.06531972107962236,0.045730407446043994,0
11,-0.007989538100498692,-0.06351460236333187,0.04753552616233449,0
12,-0.051947412016115066,-0.10747247627894824,0.003577652246718112,0
13,0.004515998006433406,-0.05100906625639977,0.06004106226926659,0
14,0.02456198165585119,-0.03096308260698199,0.08008704591868437,0
15,0.029505296005916323,-0.026019768256916855,0.0850303602687495,0
16,0.07534596688820407,0.01982090262537089,0.13087103115103724,1
17,-0.009331860831410854,-0.06485692509424404,0.046193203431422324,0
18,-0.019038172757873426,-0.07456323702070661,0.03648689150495975,0
19,-0.018119256980374886,-0.07364432124320806,0.03740580728245829,0
20,-0.039704868894619307,-0.09522993315745248,0.01582019536821387,0
21,-0.033933184968425664,-0.08945824923125884,0.021591879294407514,0
22,-0.052088632186849775,-0.10761369644968295,0.0034364320759834033,0
23,-0.05481918825266828,-0.11034425251550145,0.0007058760101648978,0
24,0.02812407897317988,-0.027400985289653297,0.08364914323601305,0
25,0.06649843354483487,0.01097336928200169,0.12202349780766805,1
26,0.0016554754383255501,-0.053869588824507625,0.05718053970115873,0
27,0.03287383070918861,-0.022651233553644567,0.08839889497202179,0
28,0.001725634006755843,-0.053799430256077335,0.05725069826958902,0
29,0.028483454117369696,-0.027041610145463482,0.08400851838020287,0
30,-0.07105013123271998,-0.12657519549555316,-0.015525066969886807,1
31,-0.010975733533217581,-0.06650079779605075,0.044549330729615595,0
32,-0.01732484574406186,-0.07284991000689503,0.03820021851877132,0
33,0.02298338612521989,-0.032541678137613286,0.07850845038805307,0
34,-0.04215753677695805,-0.09768260103979123,0.013367527485875129,0
35,-0.06725624807777209,-0.12278131234060527,-0.011731183814938907,1
36,0.052624586638124096,-0.0029004776247090816,0.10814965090095727,0
37,0.016202059917208512,-0.03932300434562466,0.0717271241800417,0
38,-0.022877260621399147,-0.07840232488423232,0.032647803641434034,0
39,-0.01269672908558409,-0.06822179334841727,0.042828335177249086,0
40,0.04184701679318763,-0.01367804746964555,0.0973720810560208,0
41,-0.044759366410132326,-0.1002844306729655,0.010765697852700852,0
42,0.019614208218206534,-0.03591085604462664,0.07513927248103972,0
43,-0.0067523693290573224,-0.0622774335918905,0.048772694933775854,0
44,-0.018792422165661408,-0.07431748642849459,0.03673264209717177,0
45,-0.02618404851611553,-0.08170911277894871,0.029341015746717648,0
46,0.003337889065379679,-0.0521871751974535,0.058862953328212855,0
47,0.006460920093914993,-0.04906414416891818,0.061985984356748174,0
48,-0.012745588687302668,-0.06827065295013585,0.04277947557553051,0
49,-0.022482553938999356,-0.07800761820183254,0.03304251032383382,0
50,-0.05301149753528724,-0.10853656179812042,0.002513566727545935,0
51,-0.032545071983727365,-0.08807013624656054,0.022979992279105813,0
52,-0.09384538562755138,-0.14937044989038456,-0.0383203213647182,1
53,-0.02182935500725301,-0.07735441927008618,0.03369570925558017,0
54,0.005080599294925244,-0.050444464967907936,0.06060566355775842,0
55,0.08635642631455986,0.030831362051726686,0.14188149057739305,1
56,0.0560612565234209,0.0005361922605877228,0.11158632078625408,1
57,-0.013752615632640321,-0.0692776798954735,0.04177244863019286,0
58,-0.010318164409405039,-0.06584322867223821,0.04520689985342814,0
59,0.011862700663055148,-0.04366236359977803,0.06738776492588833,0
60,-0.02751328171702095,-0.08303834597985413,0.028011782545812228,0
