lag,pacf,ci_low,ci_high,is_significant
0,1.0,1.0,1.0,1
1,0.9895712314824846,0.9340684351428501,1.0450740278221191,1
2,0.17682298358851017,0.12132018724887567,0.23232577992814468,1
3,-0.016824579016554393,-0.0723273753561889,0.03867821732308012,0
4,0.09104465300060242,0.035541856660967916,0.14654744934023695,1
5,0.04451499266974453,-0.010987803669889981,0.10001778900937904,0
6,0.12545763929100262,0.06995484295136811,0.18096043563063713,1
7,0.011934715609168678,-0.04356808073046583,0.06743751194880318,0
8,0.07630443506441481,0.020801638724780303,0.13180723140404932,1
9,0.001551490634870495,-0.053951305704764016,0.057054286974505,0
10,-0.04565566832919008,-0.10115846466882458,0.009847128010444427,0
11,0.001838773527666331,-0.05366402281196818,0.05734156986730084,0
12,0.005518353683332948,-0.04998444265630156,0.06102115002296746,0
13,0.015474799179852481,-0.04002799715978203,0.07097759551948699,0
14,-0.04307688423949138,-0.09857968057912589,0.012425912100143127,0
15,-0.02230906451483995,-0.07781186085447446,0.033193731824794556,0
16,-0.02269439853560223,-0.07819719487523674,0.032808397804032274,0
17,-0.0660451551246941,-0.1215479514643286,-0.010542358785059588,1
18,0.0046007996989208405,-0.05090199664071367,0.06010359603855535,0
19,0.016258155600604576,-0.03924464073902993,0.07176095194023908,0
20,0.025994306199908987,-0.02950849013972552,0.0814971025395435,0
21,0.040406839592059145,-0.015095956747575363,0.09590963593169366,0
22,0.03303551868743455,-0.02246727765219996,0.08853831502706905,0
23,0.04279264127688892,-0.012710155062745587,0.09829543761652343,0
24,0.04634495271950848,-0.009157843620126026,0.10184774905914298,0
25,-0.03866290014990993,-0.09416569648954444,0.016839896189724576,0
26,-0.05694419629699208,-0.11244699263662658,-0.0014413999573575711,1
27,-0.006005463002951736,-0.06150825934258625,0.04949733333668277,0
28,-0.049410464265515174,-0.10491326060514969,0.006092332074119335,0
29,-0.01803834727561304,-0.07354114361524755,0.037464449064021466,0
30,-0.04253297877082466,-0.09803577511045916,0.012969817568809848,0
31,0.06597521121438331,0.0104724148747488,0.12147800755401782,1
32,0.0030807601005572055,-0.052422036239077305,0.05858355644019171,0
33,-0.0025511310765022094,-0.05805392741613672,0.052951665263132296,0
34,-0.028325620113769448,-0.08382841645340396,0.02717717622586506,0
35,0.022895268726104374,-0.032607527613530134,0.07839806506573888,0
36,0.058998113634935505,0.0034953172953009967,0.11450090997457002,1
37,-0.05801524202774116,-0.11351803836737567,-0.00251244568810665,1
38,-0.019582166338522874,-0.07508496267815738,0.035920630001111634,0
39,0.027708238852519836,-0.027794557487114673,0.08321103519215434,0
40,-0.003282208563736526,-0.05878500490337103,0.052220587775897984,0
41,-0.02907169672520956,-0.08457449306484408,0.026431099614424948,0
42,0.048828869239210815,-0.006673927100423693,0.10433166557884532,0
43,-0.021794414568132112,-0.07729721090776662,0.0337083817715024,0
44,0.013967117906273278,-0.04153567843336123,0.06946991424590779,0
45,0.02754828473319267,-0.02795451160644184,0.08305108107282717,0
46,0.022980539137694038,-0.03252225720194047,0.07848333547732855,0
47,-0.006554540253604428,-0.062057336593238935,0.04894825608603008,0
48,-0.005546231112276724,-0.06104902745191123,0.04995656522735779,0
49,0.007327080326473518,-0.048175716013160994,0.06282987666610802,0
50,0.02338603521277745,-0.03211676112685706,0.07888883155241196,0
51,0.04774076467585833,-0.0077620316637761755,0.10324356101549284,0
52,0.0319035207760462,-0.02359927556358831,0.0874063171156807,0
53,0.07673818498027005,0.02123538864063554,0.13224098131990455,1
54,0.011861543591950467,-0.043641252747684045,0.06736433993158497,0
55,-0.005796007990281693,-0.061298804329916204,0.04970678834935281,0
56,-0.08249323228127678,-0.1379960286209113,-0.02699043594164227,1
57,-0.04513082420269758,-0.10063362054233209,0.010371972136936927,0
58,0.019347001750732243,-0.036155794588902265,0.07484979809036675,0
59,0.01751973078410252,-0.03798306555553199,0.07302252712373702,0
60,-0.012023445809685365,-0.06752624214931988,0.04347935052994914,0
