feature_value_original,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40
0.0,2.6694477,0.8326785,2.4897509,1.1986965,3.2515955,1.3883328,1.8350081,5.3468785,1.811488,1.4987665,2.8754604,1.7585862,2.102872,5.5343604,1.5129449,6.3241796,3.506784,1.47043,1.9014862,2.875277,7.440595,2.5655723,1.75579,6.01505,1.2148114,6.162977,2.097309,0.8432174,5.3171787,2.1438606,7.285446,4.2549357,1.5522878,1.9631734,2.254129,1.7358066,3.056447,1.3885503,6.8525157,3.0626779
0.4417241379310345,2.6940756,0.85730624,2.510402,1.2052723,3.2491822,1.3909321,1.841584,5.3444653,1.8090748,1.5053424,2.8090875,1.765162,2.1094477,5.540936,1.5195208,6.3217664,3.5121288,1.4910811,1.908062,2.8089042,7.438182,2.4991994,1.761135,6.0126367,1.2213873,6.187605,2.0123367,0.8408041,5.3147655,2.0774877,7.283033,4.275587,1.5588636,1.9607601,2.27478,1.7411516,2.9900742,1.386137,6.8501024,3.041665
0.883448275862069,2.6940756,0.85730624,2.510402,1.2052723,3.2491822,1.3909321,1.841584,5.45105,1.8090748,1.5053424,2.8090875,1.765162,2.1094477,5.6475205,1.5195208,6.428351,3.5121288,1.4910811,1.908062,2.8089042,7.5447664,2.4991994,1.761135,6.119221,1.2213873,6.2941895,2.0123367,0.8408041,5.42135,2.0774877,7.3896174,4.275587,1.5588636,1.9607601,2.27478,1.7411516,2.9900742,1.386137,6.956687,3.041665
1.3251724137931036,2.6940756,0.85730624,2.510402,1.2052723,3.2491822,1.3909321,1.841584,5.45105,1.8090748,1.5053424,2.8090875,1.765162,2.1094477,5.6475205,1.5195208,6.428351,3.5121288,1.4910811,1.908062,2.8089042,7.5447664,2.4991994,1.761135,6.119221,1.2213873,6.2941895,2.0123367,0.8408041,5.42135,2.0774877,7.3896174,4.275587,1.5588636,1.9607601,2.27478,1.7411516,2.9900742,1.386137,6.956687,3.041665
1.766896551724138,2.6796603,0.84289104,2.4959867,1.190857,3.2130444,1.3765168,1.8271687,5.3430624,1.7946595,1.4909271,2.7946723,1.7507467,2.0950325,5.539533,1.5051055,6.2986407,3.5121288,1.4766659,1.8936467,2.794489,7.4511943,2.4847841,1.7467197,6.011234,1.206972,6.186202,1.997922,0.8263889,5.2772245,2.0630724,7.2960453,4.261172,1.5444484,1.9246227,2.2603648,1.7267363,2.975659,1.3717217,6.826977,3.0272498
2.2086206896551723,2.6796603,0.74683607,2.4959867,0.9468216,3.2130444,1.1324816,1.8271687,5.3430624,1.7946595,1.2468919,2.550637,1.5067115,2.0950325,5.539533,1.2610703,6.2986407,3.5121288,1.4766659,1.8936467,2.794489,7.4511943,2.4847841,1.7467197,6.011234,0.9629364,6.186202,1.7159091,0.76622087,5.2772245,1.8190371,7.2960453,4.261172,1.3004131,1.9246227,2.2603648,1.7267363,2.975659,1.3717217,6.826977,2.931195
2.650344827586207,2.6796603,0.73099697,2.4959867,0.9468216,3.2130444,1.0687128,1.8271687,5.3430624,1.7946595,1.2310528,2.5006244,1.4908724,2.0950325,5.539533,1.1973016,6.264467,3.5121288,1.4766659,1.8936467,2.794489,7.4170203,2.4847841,1.7467197,5.97706,0.9649372,6.186202,1.7159091,0.702452,5.2772245,1.803198,7.2618713,4.261172,1.284574,1.9246227,2.2603648,1.7267363,2.9414854,1.3717217,6.792803,2.8332527
3.0920689655172415,2.6796603,0.73099697,2.4959867,0.9468216,3.1928368,1.0687128,1.8271687,5.322855,1.7946595,1.2310528,2.445804,1.4360522,2.0950325,5.554748,1.1973016,6.2442594,3.4919212,1.4766659,1.8936467,2.794489,7.4170203,2.4847841,1.7467197,5.9568524,0.9649372,6.1659946,1.7159091,0.702452,5.257017,1.803198,7.241664,4.2063518,1.2297539,1.9246227,2.2603648,1.7267363,2.886665,1.3717217,6.8080177,2.8332527
3.533793103448276,2.6796603,0.73099697,2.4959867,0.9468216,3.1928368,1.0687128,1.8271687,5.322855,1.7946595,1.2310528,2.445804,1.4360522,2.0950325,5.554748,1.1973016,6.2442594,3.4919212,1.4766659,1.8936467,2.794489,7.4170203,2.4847841,1.7467197,5.9568524,0.9649372,6.1659946,1.7159091,0.702452,5.257017,1.803198,7.241664,4.2063518,1.2297539,1.9246227,2.2603648,1.7267363,2.886665,1.3717217,6.8080177,2.8332527
3.9755172413793103,2.6796603,0.73099697,2.4959867,0.9468216,3.1928368,1.0687128,1.8271687,5.322855,1.7946595,1.2310528,2.445804,1.4360522,2.0950325,5.554748,1.1973016,6.2442594,3.4919212,1.4766659,1.8936467,2.794489,7.4170203,2.4847841,1.7467197,5.9568524,0.9649372,6.1659946,1.7159091,0.702452,5.257017,1.803198,7.241664,4.2063518,1.2297539,1.9246227,2.2603648,1.7267363,2.886665,1.3717217,6.8080177,2.8332527
4.417241379310345,2.6696093,0.72094595,2.4859357,0.9468216,3.0954907,1.0687128,1.8171177,5.235152,1.7846085,1.2210017,2.445804,1.4360522,2.0950325,5.467045,1.1973016,6.107113,3.3571734,1.4766659,1.8936467,2.794489,7.279874,2.4847841,1.7366687,5.852919,0.9649372,6.0288477,1.7058581,0.692401,5.11987,1.793147,7.1045175,4.1963005,1.2197028,1.9145716,2.2503138,1.7166853,2.876614,1.3616707,6.6708713,2.8232017
