,pH2i,pHO,pHMBR
241,8.7,7.8,6.3
242,8.4,7.8,6.1
243,8.3,7.8,6.1
244,8.7,7.8,6.1
245,8.5,7.8,6.1
246,8.4,7.8,6.1
247,8.6,7.8,6.7
248,8.3,7.8,6.8
249,8.5,7.8,7
250,8.13,7.8,6.8
251,8.2,7.8,7
252,8.3,7.8,7
253,8.3,7.8,6.9
254,8.1,7.8,7
255,8.4,7.8,7
256,8.3,7.8,7
257,8.4,7.8,7.1
258,8.5,7.8,7.3
259,8.3,7.8,7.4
260,8.2,7.8,7.2
261,8.4,7.78,7.3
262,8.3,7.78,6.9
263,8.3,7.78,6.8
264,8.4,7.78,6.9
265,8.5,7.78,7.2
266,8.4,7.78,7.4
267,8.6,7.78,7.4
268,8.3,7.78,7.4
269,8.1,7.78,7.5
270,8,7.78,7.4
271,8.2,7.78,7.4
272,8.3,7.78,6.5
273,8.2,7.77,6.5
274,8.7,7.77,6.5
275,8.5,7.77,6.5
276,8.2,7.77,6.3
277,8.6,7.77,6.1
278,8.5,7.77,6.1
279,8.3,7.77,6.1
280,8.6,7.77,6.1
281,8.2,7.77,6.1
282,8.5,7.77,6.7
283,8.3,7.77,6.8
284,8.1,7.77,7
285,8.4,7.76,6.8
286,8.3,7.76,7
287,8.3,7.76,7
288,8.3,7.76,6.9
289,8.3,7.76,7
290,8.3,7.76,7
291,8.3,7.76,6.3
292,8.3,7.76,6.3
293,8.3,7.76,6.7
294,8.3,7.76,6.8
295,8.3,7.76,6.7
296,8.2,7.76,6.7
297,8.3,7.75,6.7
298,8.4,7.75,6.6
299,8.4,7.75,6.6
300,8.3,7.75,6.5
301,8,7.8,6.5
302,8.1,7.8,6.5
303,8,7.7,6.5
304,8.2,7.7,6.3
305,8.3,7.7,6.1
306,8.4,7.7,6.9
307,8.2,7.8,7.8
308,8.1,7.78,7.7
309,8.2,7.9,7.9
310,8.4,7.9,7.9
311,8.3,8,7.8
312,8.2,7.9,7.9
313,8.1,8,8
314,8.5,8,8
315,8.3,8,8
316,8.5,7.9,7.9
317,8.3,8,8
318,8.2,8,8
319,8.1,8,8
320,8.3,8,8
321,8.4,8.1,8
322,8.1,8,8
323,8.3,8,8
324,8.2,8,8
325,8,8,8
326,8.1,8,8
327,8.1,8,8
328,8.1,7.9,7.8
329,8,7.9,7.8
330,8.3,8,7.9
331,8.4,8,7.9
332,8.2,7.9,7.8
333,7.9,8,7.9
334,7.8,8,8
335,8.2,6.5,6.4
336,7.6,6.8,6.7
337,7.8,6.7,6.6
338,7.3,7.1,6.8
339,8.3,7.3,7.2
340,8.2,7.2,7
341,8.3,7,6.9
342,8.2,6.9,6.8
343,8.1,6.8,6.8
344,8.2,6.7,6.7
345,8.2,6.9,6.8
346,8,7.1,7
347,8,6.9,6.8
348,8,7.2,7
349,8.1,7,7
350,8.1,6.9,6.9
351,8.1,7.1,7
352,8.1,7.2,7
353,8.2,7.3,7
354,8.1,7.3,7.1
355,8.3,7.5,7.3
356,8.3,7.5,7.4
357,8.1,7.2,7.2
358,8.2,7.3,7.3
359,8.1,6.9,6.9
360,7.9,6.8,6.8
361,7.8,7.1,6.9
362,7.6,7.3,7.2
363,8,7.5,7.4
364,8,7.5,7.4
365,8.3,7.4,7.4
366,8.2,7.5,7.5
367,7.6,7.4,7.4
368,7.5,7.4,7.4
369,7.7,7.6,7.6
370,7.9,7.7,7.7
371,8.3,7.6,7.6
372,8,7.8,7.7
373,8.2,7.6,7.6
374,8.2,7.7,7.7
375,7.9,7.7,7.7
376,7.8,7.7,7.7
377,7.8,7.8,7.8
378,7.9,7.8,7.8
379,8.1,7.9,7.8
380,8.1,7.8,7.8
381,8,7.6,7.6
382,8,7.7,7.7
383,8,7.7,7.7
384,8,7.9,7.9
385,8,7.9,7.9
386,6.5,7.5,7.5
387,7.8,7.8,7.7
388,7.9,7.8,7.7
389,8.2,7.7,7.7
390,7.8,7.8,7.8
391,6.5,7.3,7.3
392,6.7,7.3,7.3
393,6.9,7.3,7.3
394,7.1,7.4,7.4
395,7.4,7.5,7.4
396,7.7,7.5,7.4
397,7.2,7.6,7.6
398,7.8,7.5,7.6
399,6.5,7.6,7.6
400,6.6,7.6,7.6
401,6.8,7.6,7.6
402,7,7.6,7.6
403,7.8,7.6,7.6
404,7.9,7.6,7.6
405,7.5,7.5,7.6
406,7.5,7.5,7.5
407,7.6,7.5,7.5
408,7.7,7.5,7.5
409,7.5,7.5,7.5
410,7.2,7.5,7.5
411,7.7,7.5,7.5
412,7.9,7.5,7.5
413,7.6,7.5,7.5
414,7.8,7.6,7.6
415,7.5,7.6,7.6
416,7.2,7.6,7.6
417,7.4,7.6,7.6
418,7.7,7.6,7.6
419,7.8,7.6,7.6
420,7.5,7.7,7.7
421,7.9,7.7,7.7
422,7.7,7.6,7.6
423,7.2,7.6,7.6
424,7.3,7.6,7.6
425,7.7,7.6,7.6
426,8,7.6,7.6
427,8.1,7.6,7.6
428,7.9,7.6,7.6
429,7.9,7.7,7.7
430,7.9,7.7,7.7
431,7.8,7.7,7.7
432,7.8,7.7,7.7
433,7.8,7.7,7.7
434,7.4,7.7,7
435,7.6,7.7,7.6
436,7.5,7.7,7.6
437,7.5,7.7,7.6
438,7.5,7.7,7.7
439,7.6,7.7,7.7
440,7.6,7.7,7.7
441,7.3,7.7,7.7
442,7.7,7.7,7.7
443,7.8,7.7,7.7
444,7.9,7.7,7.7
445,7.9,7.7,7.7
446,7.6,7.6,7.6
447,7.6,7.9,7.9
448,7.6,8,8
449,7.6,8,8
450,7.8,8,8
451,7.9,8,8
452,7.4,8,8
453,7.6,8,8
454,8.2,7.8,7.8
455,7.9,8.1,8.1
