,pH2i,pHO,pHMBR
1035,8.2,6.3,6.3
1036,8.5,6.3,6.3
1037,8.4,6.3,6.3
1038,8.5,6.2,6.2
1039,8.5,6.2,6.2
1040,8.5,6.3,6.3
1041,8.4,6.3,6.3
1042,8.6,6.3,6.3
1043,8.4,6.3,6.3
1044,8.5,6.3,6.3
1045,8.3,6.2,6.2
1046,8.4,6.2,6.2
1047,8.7,6.3,6.3
1048,8.7,6.3,6.3
1049,8.1,6.3,6.3
1050,8.3,6.3,6.3
1051,8.5,6.3,6.3
1052,8.6,6.3,6.3
1053,8.5,6.3,6.3
1054,8.7,6.3,6.3
1055,8.7,6.4,6.4
1056,8.6,6.4,6.4
1057,8.4,6.4,6.4
1058,8.5,6.4,6.4
1059,8.4,6.4,6.4
1060,8.5,6.4,6.4
1061,8.7,6.4,6.4
1062,8.5,6.4,6.4
1063,8.8,6.3,6.3
1064,8.4,6.3,6.3
1065,8.7,6.3,6.3
1066,8.5,6.3,6.3
1067,8.6,6.3,6.3
1068,8.4,6.3,6.3
1069,8.3,6.4,6.4
1070,8.4,6.3,6.4
1071,8.4,6.3,6.3
1072,8.4,6.3,6.3
1073,8.6,6.3,6.3
1074,8.3,6.3,6.3
1075,8.5,6.3,6.3
1076,8.4,6.3,6.3
1077,8.5,6.3,6.3
1078,8.6,6.3,6.3
1079,8.6,6.3,6.3
1080,8.6,6.3,6.3
1081,8.4,6.3,6.3
1082,8.5,6.4,6.4
1083,8.5,6.4,6.4
1084,8.3,6.5,6.5
1085,8.6,6.4,6.4
1086,8.5,6.3,6.3
1087,8.4,6.3,6.3
1088,8.4,6.3,6.3
1089,8.6,6.3,6.3
1090,8.3,6.4,6.4
1091,8.5,6.4,6.4
1092,8.4,6.4,6.4
1093,8.2,6.4,6.4
1094,8.6,6.4,6.4
1095,8.6,6.4,6.4
1096,8.4,6.4,6.4
1097,8.5,6.4,6.4
1098,8.2,6.4,6.4
1099,8.6,6.6,6.6
1100,8.5,6.5,6.5
1101,8.6,6.5,6.5
1102,8.4,6.5,6.5
1103,8.4,6.5,6.5
1104,8.4,6.5,6.5
1105,8.2,6.5,6.5
1106,8.5,6.6,6.5
1107,8.4,6.6,6.6
1108,8.5,6.5,6.5
1109,8.4,6.6,6.6
1110,8.5,6.6,6.6
1111,8.5,6.6,6.6
1112,8.5,6.6,6.6
1113,8.4,6.6,6.5
1114,8.2,6.6,6.6
1115,8.5,6.5,6.5
1116,8.4,6.5,6.5
1117,8.4,6.5,6.5
1118,8.5,6.5,6.5
1119,8.5,6.5,6.5
1120,8.5,6.5,6.5
1121,8.2,6.5,6.5
1122,8.2,6.5,6.5
1123,8.3,6.5,6.5
1124,8.4,6.5,6.5
1125,8.6,6.5,6.5
1126,8.4,6.5,6.5
1127,8.6,6.5,6.5
1128,8.5,6.5,6.5
1129,8.3,6.6,6.6
1130,8.2,6.6,6.6
1131,8.5,6.6,6.6
1132,8.4,6.6,6.6
1133,8.6,6.6,6.6
1134,8.5,6.6,6.6
1135,8.5,6.6,6.6
1136,8.5,6.6,6.6
1137,8.4,6.6,6.6
1138,8.2,6.6,6.6
1139,8.3,6.6,6.6
1140,8.5,6.6,6.6
1141,8.5,6.6,6.6
1142,8.5,6.6,6.6
1143,8.5,6.6,6.6
1144,8.5,6.5,6.5
1145,8.5,6.5,6.5
1146,8.1,6.4,6.4
1147,8.8,6.5,6.5
1148,8.9,6.6,6.6
1149,8.9,6.7,6.7
1150,8.5,6.8,6.8
1151,8.5,6.8,6.8
1152,8.5,6.9,6.9
1153,8.6,6.9,6.9
1154,8.3,6.9,6.9
1155,8.1,6.9,6.9
1156,8.8,7,7
1157,8.5,7,7
1158,8.6,7,7
1159,8.6,7.2,7.2
1160,8.6,7.5,7.5
1161,8.4,7.5,7.5
1162,8.2,7.6,7.6
1163,8.4,7.7,7.7
1164,8.3,7.7,7.7
1165,8.6,7.7,7.7
1166,8.5,7.7,7.7
1167,8.5,7.9,7.7
1168,8.5,7.9,7.9
1169,8.6,7.9,7.9
1170,8.4,7.9,7.9
1171,8.4,7.9,7.9
1172,8.5,7.9,7.9
1173,8.5,8,8
1174,8.6,7.9,7.9
1175,8.6,8,8
1176,8.6,8,8
1177,8.4,8,8
1178,8.4,8,8
1179,8.4,8,8
1180,8.5,8,8
1181,8.4,8,8
1182,8.7,8,8
1183,8.6,8,8
1184,8.6,8,8
1185,8.6,8,8
1186,8.4,8,8
1187,8.6,8,8
1188,8.5,7.9,7.9
1189,8.4,7.9,7.9
1190,8.3,7.9,7.9
1191,8.3,7.9,7.9
1192,8.3,7.9,7.9
1193,8.4,7.9,7.9
1194,8.4,7.9,7.9
1195,8.6,7.9,7.9
1196,8.5,7.9,7.9
1197,8.4,7.9,7.9
1198,8.6,7.9,7.9
1199,8.6,7.9,7.9
1200,8.6,7.9,7.9
1201,8.5,7.9,7.9
1202,8.4,7.9,7.9
1203,8.4,8,8
1204,8.3,8,7.9
1205,8.2,8,7.8
1206,8.3,7.8,7.8
1207,8.4,7.9,7.9
1208,8.3,7.9,7.9
1209,8.5,7.9,7.9
1210,8.4,7.6,7.2
1211,8.3,7.9,7.9
1212,8.2,7.9,7.9
1213,8.3,7.9,7.9
1214,8.4,7.9,7.9
1215,8.5,7.9,7.9
1216,8.6,7.9,7.9
1217,8.6,7.9,7.9
1218,8.4,7.9,7.9
1219,8.5,7.9,7.9
1220,8.3,7.9,7.9
1221,8.5,7.9,7.9
1222,8.4,7.9,7.9
1223,8.5,7.9,7.9
1224,8.5,8,8
1225,8.2,7.9,7.9
1226,8.3,7.9,7.9
1227,8.3,7.9,7.9
1228,8.5,7.9,7.9
1229,8.4,7.9,7.9
1230,8.3,7.9,7.9
1231,8.3,7.8,7.8
1232,8.3,7.8,7.8
1233,8.5,7.8,7.8
1234,8.6,7.8,7.8
1235,8.6,7.8,7.8
1236,8.5,7.8,7.8
1237,8.2,7.8,7.8
1238,8.3,7.8,7.8
1239,8.3,7.8,7.8
1240,8.3,7.8,7.8
1241,8.4,7.8,7.8
1242,8.5,7.8,7.8
1243,8.5,7.8,7.8
1244,8.6,7.8,7.8
1245,8.4,7.8,7.7
1246,8.5,7.8,7.8
1247,8.5,7.8,7.8
1248,8.6,7.8,7.8
1249,8.5,7.8,7.8
1250,8.3,7.8,7.8
1251,8.6,7.8,7.8
1252,8.5,7.8,7.8
1253,8.2,7.8,7.8
1254,8.3,7.8,7.8
1255,8.4,7.8,7.8
1256,8.4,7.8,7.8
1257,8.5,7.7,7.7
1258,8.5,7.7,7.7
1259,8.5,7.7,7.7
1260,8.1,7.7,7.7
1261,8.2,7.7,7.7
1262,8.2,7.7,7.7
1263,8.2,7.7,7.7
1264,8.3,7.7,7.7
1265,8.5,7.7,7.7
1266,8.4,7.7,7.7
1267,8.5,7.7,7.7
1268,8.6,7.7,7.7
1269,8.5,7.7,7.7
1270,8.4,7.7,7.7
1271,8.4,7.7,7.7
1272,8.4,7.7,7.7
1273,8.8,7.2,7.2
1274,8.7,7.5,7.5
1275,8.6,7.3,7.5
1276,8.7,7.3,7.3
1277,8.8,7.4,7.4
1278,8.6,7.4,7.4
1279,8.6,7.5,7.5
1280,8.6,7.5,7.5
1281,8.5,7.5,7.5
1282,8.4,7.5,7.5
1283,8.5,7.5,7.5
1284,8.7,7.5,7.5
1285,8.5,7.5,7.5
1286,8.4,7.5,7.5
1287,8.4,7.5,7.5
1288,8.4,7.5,7.5
1289,8.5,7.5,7.5
1290,8.5,7.5,7.5
1291,8.5,7.5,7.5
1292,8.6,7.5,7.5
1293,8.5,7.3,7.3
1294,8.4,7.2,7.2
1295,8.4,7.2,7.2
1296,8.5,7.3,7.3
1297,8.5,7.3,7.3
1298,8.6,7.3,7.3
1299,8.6,7.3,7.3
1300,8.5,7.3,7.3
1301,8.4,7.3,7.3
1302,8.9,7.4,7.4
1303,8.9,7.5,7.5
1304,8.9,7.5,7.5
1305,8.8,7.5,7.5
1306,8.6,7.5,7.5
1307,8.7,7.5,7.5
1308,8.8,7.4,7.4
1309,8.7,7.4,7.4
1310,8.8,7.4,7.4
1311,8.8,7.4,7.4
1312,8.8,7.4,7.4
1313,8.7,7.4,7.4
1314,8.7,7.4,7.4
1315,8.7,7.4,7.4
1316,8.8,7.4,7.4
1317,8.5,7.4,7.4
1318,8.6,7.4,7.4
1319,8.6,7.4,7.4
1320,8.6,7.4,7.4
1321,8.6,7.4,7.4
1322,8.6,7.4,7.4
1323,8.6,7.4,7.4
1324,8.9,7.3,7.3
1325,8.8,7.2,7.2
1326,8.5,7.2,7.2
1327,8.5,7.2,7.2
1328,8.5,7.2,7.2
1329,8.5,7.2,7.2
1330,8.2,7.2,7.2
1331,8.2,7.2,7.2
1332,8.4,7.2,7.2
1333,8.5,7.4,7.4
1334,8.4,7.4,7.4
1335,8.4,7.4,7.4
1336,8.5,7.4,7.4
1337,8.4,7.4,7.4
1338,8.6,7.4,7.4
1339,8.6,6.8,6.8
1340,8.7,6.8,6.8
1341,8.8,6.5,6.5
1342,8.5,6.5,6.5
1343,8.5,6.5,6.5
1344,8.5,6.5,6.5
1345,8.6,6.5,6.5
1346,8.7,6.5,6.5
1347,8.6,6.5,6.5
1348,8.5,6.5,6.5
1349,8.5,6.5,6.5
1350,8.2,6.5,6.5
1351,8.2,6.5,6.5
1352,8.2,6.6,6.6
1353,8.3,6.6,6.6
1354,8.3,6.6,6.6
1355,8.3,6.6,6.6
1356,8.4,6.6,6.6
1357,8.5,6.5,6.5
1358,8.4,6.5,6.5
1359,8.5,6.5,6.5
1360,8.5,6.5,6.5
1361,8.5,6.5,6.5
1362,8.5,6.5,6.5
1363,8.6,6.5,6.5
1364,8.5,6.5,6.5
1365,8.4,6.5,6.5
1366,8.5,6.4,6.4
1367,8.5,6.4,6.4
1368,8.5,6.4,6.4
1369,8.4,6.4,6.4
1370,8.4,6.4,6.4
1371,8.4,6.4,6.4
1372,8.5,6.4,6.4
1373,8.6,6.5,6.5
1374,8.4,6.5,6.5
1375,8.5,6.5,6.5
1376,8.5,6.5,6.5
1377,8.5,6.5,6.5
1378,8.4,6.5,6.5
1379,8.4,6.5,6.5
1380,8.5,6.5,6.5
1381,8.6,6.5,6.5
1382,8.4,6.4,6.4
1383,8.5,6.2,6.2
1384,8.5,6.2,6.2
1385,8.5,6.2,6.2
1386,8.6,6.2,6.2
1387,8.6,6.2,6.2
1388,8.5,6.2,6.2
1389,8.2,6.2,6.2
1390,8.5,6.2,6.2
1391,8.5,6.2,6.2
1392,8.5,6.2,6.2
1393,8.6,6.2,6.2
1394,8.6,6.3,6.3
1395,8.6,6.3,6.3
1396,8.5,6.3,6.3
1397,8.4,6.3,6.3
1398,8.6,6.1,6.1
1399,8.6,6.1,6.1
1400,8.6,6.1,6.1
1401,8.5,6.1,6.1
1402,8.5,6.2,6.2
1403,8.5,6.2,6.2
1404,8.4,6.2,6.2
1405,8.5,6.1,6.1
1406,8.5,6.1,6.1
1407,8.5,6.1,6.1
1408,8.5,6.1,6.1
1409,8.5,6.1,6.1
1410,8.6,6.2,6.2
1411,8.6,6.2,6.2
1412,8.5,6.2,6.2
1413,8.5,6.2,6.2
1414,8.6,6.7,6.7
1415,8.6,6.7,6.7
1416,8.6,6.7,6.7
1417,8.6,6.7,6.7
1418,8.6,6.7,6.7
1419,8.6,6.7,6.7
1420,8.7,6.7,6.7
1421,8.6,6.7,6.7
1422,8.6,6.7,6.7
1423,8.6,6.7,6.7
1424,8.6,6.7,6.7
1425,8.6,6.7,6.7
1426,8.6,6.7,6.7
1427,8.7,6.7,6.7
1428,8.5,6.7,6.7
1429,8.6,6.7,6.7
1430,8.5,6.7,6.7
1431,8.6,6.7,6.7
1432,8.6,6.7,6.7
1433,8.7,6.7,6.7
1434,8.5,6.7,6.7
1435,8.6,6.7,6.7
1436,8.5,6.7,6.7
1437,8.5,6.7,6.7
1438,8.6,6.8,6.8
1439,8.6,6.8,6.8
1440,8.6,6.8,6.8
1441,8.6,6.8,6.8
1442,8.5,6.8,6.8
1443,8.5,6.8,6.8
1444,8.6,6.9,6.9
1445,8.4,7,7
1446,8.5,7.1,7.1
1447,8.5,7.5,7.5
1448,8.4,7.5,7.5
1449,8.4,7.5,7.5
1450,8.4,7.5,7.5
1451,8.4,7.5,7.5
1452,8.5,7.5,7.5
1453,8.6,7.6,7.6
1454,8.6,7.6,7.6
1455,8.6,7.7,7.7
1456,8.6,7.7,7.7
1457,8.6,7.7,7.7
1458,8.6,7.7,7.7
1459,8.6,7.8,7.8
1460,8.5,7.8,7.8
1461,8.4,7.8,7.8
1462,8.6,7.8,7.8
1463,8.6,7.8,7.8
1464,8.6,7.8,7.8
1465,8.6,7.8,7.8
1466,8.6,7.8,7.8
1467,8.6,7.9,7.9
1468,8.5,7.9,7.9
1469,8.4,7.9,7.9
1470,8.6,7.9,7.9
1471,8.5,7.6,7.6
1472,8.5,7.6,7.6
1473,8.6,7.6,7.6
1474,8.6,7.6,7.6
1475,8.5,7.6,7.6
1476,8.7,7.6,7.6
1477,8.7,7.6,7.6
1478,8.6,7.6,7.6
1479,8.6,7.6,7.6
1480,8.6,7.6,7.6
1481,8.6,7.6,7.6
1482,8.5,7.6,7.6
1483,8.5,7.6,7.6
1484,8.6,7.6,7.6
1485,8.5,7.6,7.6
1486,8.4,7.6,7.6
1487,8.5,7.6,7.6
1488,8.4,7.6,7.5
1489,8.4,7.6,7.5
1490,8.5,7.6,7.5
1491,8.5,7.6,7.5
1492,8.6,7.6,7.6
1493,8.5,7.6,7.6
1494,8.6,7.6,7.6
1495,8.6,7.6,7.6
1496,8.6,7.6,7.6
1497,8.7,7.9,7.9
1498,8.6,7.9,7.9
1499,8.6,7.9,7.9
1500,8.5,7.9,7.9
1501,8.7,7.9,7.9
1502,8.5,7.9,7.9
1503,8.5,7.9,7.9
1504,8.5,7.8,7.9
1505,8.5,7.9,7.9
1506,8.5,7.9,7.9
1507,8.5,7.9,7.8
1508,8.4,7.9,7.9
1509,8.6,7.9,7.9
1510,8.5,7.9,7.9
1511,8.5,7.9,7.9
1512,8.5,7.8,7.9
1513,8.5,7.8,7.9
1514,8.5,7.8,7.9
1515,8.5,7.8,7.9
1516,8.6,7.8,7.9
1517,8.6,7.8,7.9
1518,8.5,7.8,7.8
1519,8.5,7.8,7.8
1520,8.5,7.8,7.8
1521,8.5,7.8,7.8
1522,8.6,7.8,7.8
1523,8.5,7.8,7.8
1524,8.5,7.8,7.8
1525,8.4,7.8,7.8
1526,8.5,7.8,7.8
1527,8.5,7.8,7.8
1528,8.5,7.8,7.8
1529,8.6,7.8,7.8
1530,8.7,7.8,7.8
1531,8.6,7.8,7.8
1532,8.5,7.8,7.8
1533,8.6,7.8,7.8
1534,8.5,7.8,7.8
1535,8.5,7.8,7.8
1536,8.5,7.8,7.8
1537,8.6,7.8,7.8
1538,8.5,7.8,7.8
1539,8.5,7.8,7.8
1540,8.6,7.8,7.8
1541,8.6,7.8,7.8
1542,8.5,7.8,7.8
1543,8.5,7.8,7.8
1544,8.5,7.8,7.8
1545,8.5,7.8,7.8
1546,8.5,7.8,7.8
1547,8.5,7.8,7.8
1548,8.5,7.8,7.8
1549,8.5,7.8,7.8
1550,8.6,7.8,7.8
1551,8.6,7.8,7.8
1552,8.5,7.8,7.8
1553,8.4,7.8,7.8
1554,8.5,7.8,7.8
1555,8.5,7.8,7.8
1556,8.5,7.8,7.8
1557,8.5,7.8,7.8
1558,8.5,7.8,7.8
1559,8.5,7.8,7.8
1560,8.5,7.9,7.8
1561,8.5,7.9,7.8
1562,8.5,7.9,7.8
1563,8.5,8,8
1564,8.7,8,8
1565,8.6,8,8
1566,8.5,8,8
1567,8.5,8,8
1568,8.5,8,8
1569,8.5,8,8
1570,8.5,8,8
1571,8.5,8,8
1572,8.6,8,8
1573,8.5,8,8
1574,8.4,8,8
1575,8.4,8,8
1576,8.4,8,8
1577,8.4,8,8
1578,8.4,8,8
1579,8.4,8,8
1580,8.5,8,8
1581,8.4,8,8
1582,8.5,8.1,8.1
1583,8.5,8.1,8.1
1584,8.5,8.1,8.1
1585,8.6,8.1,8.1
1586,8.6,8.1,8.1
1587,8.6,8.1,8.1
1588,8.5,8.1,8.1
1589,8.9,8.2,8.2
1590,8.7,8.2,8.2
1591,8.7,8.2,8.2
1592,8.9,8.2,8.2
1593,8.8,8.2,8.2
1594,8.8,8.1,8.2
1595,8.7,8.1,8.2
1596,8.6,8.1,8.1
1597,8.5,8,8.1
1598,8.5,8,8.2
1599,8.5,8,8.1
1600,8.5,8.1,8.1
1601,8.5,8.1,8.1
1602,8.5,8.1,8.1
1603,8.5,8.1,8.1
