,NH3-N2i,NH3-NO,NH3NMBR
1111,170,1.2,0.3
1112,213,1.5,1
1113,189,1.4,0.8
1114,161,1.7,0.9
1115,174,1.6,0.8
1116,168,1.7,0.7
1117,178,1.5,0.5
1118,195,1.3,0.4
1119,170,1.6,0.4
1120,167,1.5,0.4
1121,185,1.7,0.5
1122,175,1.7,0.4
1123,181,1.8,0.5
1124,177,1.7,0.5
1125,169,1.8,0.4
1126,178,1.7,0.3
1127,172,1.7,0.5
1128,168,2,0.8
1129,180,2.3,0.9
1130,127,2.5,1
1131,151,2.4,0.8
1132,174,2.5,1
1133,183,2.6,0.9
1134,170,2.6,0.9
1135,172,2.5,0.9
1136,168,2.5,1
1137,184,2.6,1.1
1138,192,2.7,1.3
1139,184,2.6,1.2
1140,192,2.5,1.3
1141,186,2.5,1.3
1142,214,1.9,1
1143,211,1.9,1
1144,215,1.8,0.9
1145,233,1.8,1
1146,188,2.3,1.5
1147,285,7.6,6.2
1148,269,8.1,6.7
1149,285,8.5,6.9
1150,210,10.6,8.7
1151,220,2.3,1.2
1152,215,2.5,0.8
1153,231,2.5,1
1154,257,2.8,1.1
1155,267,2.8,0.8
1156,268,2.4,0.8
1157,250,2.4,0.8
1158,287,2.5,0.8
1159,260,2.5,0.8
1160,224,2.6,1
1161,247,2.3,0.9
1162,204,2.5,1.1
1163,273,2.6,1
1164,249,2.3,1
1165,227,2.4,1
1166,312,2.6,1.2
1167,306,3.1,1.4
1168,316,3.2,1.3
1169,282,3.3,1.4
1170,263,3.5,1.5
1171,258,3.6,1.3
1172,296,3.3,1.2
1173,288,3.6,2.1
1174,270,3.8,2.2
1175,260,3.8,1.2
1176,265,4.3,2.2
1177,282,4.1,2.3
1178,251,3.9,2.2
1179,260,4,2.5
1180,287,4.1,2.6
1181,258,3.6,2.5
1182,271,3.1,1.9
1183,260,3.2,1.8
1184,265,3.1,1.6
1185,282,3,1.1
1186,247,2.9,1.2
1187,280,3,1
1188,249,2.5,1.2
1189,268,2.2,1.1
1190,235,1.9,1.1
1191,240,1.8,1
1192,220,2,1.5
1193,233,2.1,1.5
1194,225,2.2,1.5
1195,220,3.1,1.5
1196,212,2.8,1.5
1197,241,2.7,1.4
1198,254,2.5,1.4
1199,260,2.8,1.3
1200,265,2.6,1.3
1201,274,2.8,1.3
1202,249,2.6,1.4
1203,279,3.5,2.3
1204,256,3.7,2
1205,264,10.3,12.2
1206,283,20,15
1207,268,2.5,1.9
1208,360,2.8,1.6
1209,269,3.9,3.5
1210,276,4.1,4
1211,259,3.4,0.6
1212,264,3.2,1.2
1213,271,2.4,1.3
1214,243,2.1,1.2
1215,260,2.6,1.1
1216,271,1.5,0.4
1217,253,1.8,0.5
1218,269,2.5,1.8
1219,270,2.6,1.7
1220,265,2.5,1.5
1221,241,2.4,1.5
1222,211,8.8,6.7
1223,232,6.1,2.1
1224,240,5.3,2
1225,220,5.6,3
1226,265,4.8,2.3
1227,280,5,2.1
1228,254,4.2,2.2
1229,283,4.1,3.1
1230,259,3.8,2.3
1231,260,4,2.3
1232,270,4,2.2
1233,288,4.3,2
1234,256,4.6,2.3
1235,260,4.5,2.2
1236,294,4.2,2.5
1237,278,4.3,2.4
1238,248,3.9,2.5
1239,270,4,2.3
1240,265,4.3,2.3
1241,251,4.6,2.1
1242,273,4.8,2.4
1243,268,4.9,2.3
1244,247,4.5,2.4
1245,258,4.1,1.5
1246,279,3.6,1.5
1247,275,3.7,1.6
1248,280,4,2.7
1249,292,4.3,2.8
1250,266,4.6,2.5
1251,281,3.9,1.9
1252,277,3.7,1.8
1253,293,3.4,1.8
1254,285,3.5,1.6
1255,373,7.1,5.6
1256,352,6.6,4.2
1257,305,4.5,1.6
1258,327,4.1,1.8
1259,310,4.3,1.7
1260,280,4.1,2.5
1261,249,3.9,1.9
1262,260,4.3,2
1263,255,4.2,2
1264,239,4.3,2.1
1265,268,4.5,1.8
1266,293,4.7,2
1267,318,3.8,1.1
1268,309,3.7,1.8
1269,294,3.5,1.6
1270,285,3.6,1.4
1271,289,3.5,1.9
1272,260,3.9,2.5
1273,240,3.7,1.7
1274,250,3.8,1.8
1275,255,4,2
1276,241,3.8,2.1
1277,261,3.8,2.3
1278,176,3.5,2
1279,168,3.9,2
1280,195,4,2.8
1281,184,4.2,2.8
1282,213,4,2.4
1283,190,4,2.2
1284,185,3.9,2.5
1285,199,4.1,3
1286,182,3.9,2.6
1287,190,4,2.5
1288,179,5,3.6
1289,242,4.3,1.7
1290,226,4.1,1.5
1291,210,4.3,2.5
1292,248,4.2,1.9
1293,251,3.8,1.4
1294,336,3.5,1.1
1295,350,3.2,1.8
1296,290,4,1.3
1297,315,3.8,1.3
1298,334,3.5,1.6
1299,282,3.2,0.7
1300,132,3.1,1.1
1301,150,3.2,1.5
1302,285,2.5,0.8
1303,278,2.6,1.2
1304,265,3.1,1.6
1305,249,3.3,1.9
1306,288,3,1.8
1307,350,9.8,7
1308,332,5.5,1.1
1309,289,2.3,1.1
1310,221,2.6,0.9
1311,296,2.1,0.9
1312,289,2.2,0.8
1313,264,2.5,1.3
1314,244,2.8,1.4
1315,246,2.7,1.3
1316,268,2.9,1.5
1317,272,3,1.7
1318,281,2.9,1.6
1319,271,3,1.2
1320,722,3.2,1.9
1321,563,3.4,2
1322,417,3.8,2.9
1323,505,3.9,1.9
1324,422,4.2,2.4
1325,454,4.5,2.2
1326,421,4.2,2.1
1327,475,5.1,2.1
1328,460,5,2.8
1329,447,4.3,1.5
1330,598.5,4.5,2.8
1331,304,5,2.9
1332,362,5.5,3
1333,370,5.8,2.7
1334,340,5.5,2.7
1335,321,4.6,2.6
1336,229,5,2.7
1337,253,4.8,2.5
1338,311,4.6,2
1339,301,5.1,2.3
1340,325,5,2.2
1341,351,4.5,1.6
1342,499,4.1,1.4
1343,466,4.5,1.6
1344,557,4.2,1.7
1345,508,4,1.4
1346,524,4.3,1.6
1347,460,4.6,1.5
1348,472,4.5,1.2
1349,480,3.9,1.3
1350,521,6.1,2.1
1351,502,5.6,1.5
1352,495,4.9,1.3
1353,477,5.1,1.6
1354,380,4.8,0.8
1355,390,4.3,0.9
1356,387,4.4,1.1
1357,362,4.2,1.3
1358,351,4,1.5
1359,204,3.8,1.2
1360,210,3.9,2
1361,202,3.5,1.5
1362,279,3.2,1.2
1363,264,3.4,1.3
1364,274,3.5,1.2
1365,265,3.3,1.2
1366,159,2.9,0.6
1367,180,2.9,0.9
1368,171,3,1.1
1369,193,3.2,1.2
1370,217,3.6,1.3
1371,220,3.2,1.1
1372,235,3.5,1.2
1373,250,3.3,1.2
1374,234,3.2,1.3
1375,223,3.3,1
1376,226,3.3,1.1
1377,236,3.2,1.3
1378,208,3.4,1.5
1379,215,3.5,1.6
1380,258,3.3,1.5
1381,262,2.1,1.2
1382,249,2.3,1.9
1383,157,5.6,2.2
1384,180,6,2.3
1385,192,5.3,2
1386,224,5.1,2.1
1387,210,5.3,1.9
1388,235,5.4,2
1389,212,5,1.9
1390,225,4.8,1.8
1391,221,5.1,1.9
1392,230,5.2,1.8
1393,254,4.6,1.2
1394,268,4.7,1.3
1395,251,4.8,1.2
1396,268,4.2,1.3
1397,241,3.9,1.2
1398,171,3.3,0.7
1399,179,3.5,0.8
1400,162,3.3,0.8
1401,157,3.1,1
1402,169,3.2,1.2
1403,159,3.3,1.1
1404,151,3.2,1.2
1405,149,3.1,1.1
1406,289,3.2,0.58
1407,278,2.8,0.9
1408,230,2.9,1.1
1409,259,2.6,1.2
1410,241,2.8,1.3
1411,232,2.9,1.2
1412,245,3.1,1.2
1413,251,3.6,1.5
1414,144,3.5,1.3
1415,139,4.2,1.5
1416,165,4.3,1.6
1417,178,4.1,1.4
1418,215,4.2,1.8
1419,198,5.6,2.5
1420,190,6.6,4
1421,205,6.2,4.1
1422,186,6.4,1.6
1423,195,6.5,1.7
1424,187,6.3,1.6
1425,175,5.8,1.8
1426,168,5.3,1.5
1427,179,5.4,1.8
1428,168,5.1,1.5
1429,174,5,1.5
1430,165,4.5,1.4
1431,175,5.8,1.8
1432,168,5.3,1.5
1433,179,5.4,1.8
1434,168,5.1,1.5
1435,174,5,1.5
1436,165,4.5,1.4
1437,179,4.1,3.5
1438,168,4,3.3
1439,371,4.2,0.9
1440,365,4.3,0.9
1441,338,4.5,0.9
1442,285,4.6,1.1
1443,262,4.2,1.2
1444,247,4.3,1.2
1445,231,4.4,1.3
1446,224,4.2,1.5
1447,235,4.3,1.8
1448,257,4.8,1.9
1449,286,4.7,1.9
1450,269,4.5,2
1451,275,5.3,2.3
1452,242,5.5,2.4
1453,234,4.6,2.4
1454,245,5.2,2.5
1455,256,5.1,2.3
1456,232,5,2.3
1457,247,5.1,2.4
1458,256,4.8,2.2
1459,251,4.9,2.3
1460,249,4.5,2.3
1461,254,4.2,2.2
1462,225,4.1,2.1
1463,215,4.3,2.3
1464,195,4.2,2.1
1465,183,4.3,2.2
1466,208,3.9,1.8
1467,195,3.8,1.4
1468,202,2.9,1.5
1469,189,2.6,1.5
1470,197,2.9,1.7
1471,182,2.8,1.9
1472,192,2.9,1.9
1473,208,2.8,1.7
1474,226,3,1.8
1475,212,3.1,1.7
1476,208,2.9,1.6
1477,198,2.8,1.6
1478,202,2.7,1.5
1479,195,2.8,1.6
1480,189,2.9,1.5
1481,213,2.8,1.6
1482,204,2.9,1.6
1483,210,3,1.5
1484,228,3.1,1.4
1485,239,3,1.3
1486,225,3,1.3
1487,217,2.9,1.2
1488,221,2.9,1.3
1489,246,2.8,1.2
1490,254,2.8,1.2
1491,241,2.9,1.2
1492,238,2.7,1.2
1493,284,2.5,1.3
1494,234,2.2,1.3
1495,200,2.2,1.3
1496,195,2.3,1.4
1497,178,3.2,2.1
1498,186,3.3,2.2
1499,191,3.4,1.9
1500,263,3.3,1.5
1501,284,3.3,1.6
1502,143,3.2,1.4
1503,133,3.3,0.8
1504,139,3.2,0.9
1505,150,3.3,0.9
1506,163,3.1,0.8
1507,168,2.8,0.9
1508,175,2.6,0.9
1509,164,2.3,1.1
1510,170,2.3,0.8
1511,165,2.2,0.6
1512,168,2.1,0.7
1513,184,2.5,0.8
1514,192,2.4,0.9
1515,175,2.3,0.8
1516,187,2.2,0.6
1517,192,2.4,0.6
1518,203,2.3,0.5
1519,185,2.3,0.8
1520,175,2.2,0.7
1521,168,2.4,0.8
1522,175,2.3,0.7
1523,169,2.1,0.7
1524,158,2.2,0.8
1525,172,2.1,1.1
1526,221,2.2,1
1527,218,1.8,0.6
1528,215,1.9,0.8
1529,226,1.8,0.7
1530,196,2.1,0.9
1531,177,2.2,1.1
1532,170,2.3,0.8
1533,173,2.3,1.2
1534,185,2.2,0.7
1535,175,2.3,0.9
1536,180,2.1,1.1
1537,193,2.2,1.1
1538,177,2.3,1.2
1539,180,2.1,0.6
1540,191,2.2,0.9
1541,188,2.3,0.7
1542,190,2.2,0.5
1543,182,2.3,0.5
1544,211,2.6,0.9
1545,223,2.5,0.8
1546,208,2.4,0.7
1547,205,3.6,1.7
1548,198,3.5,1.6
1549,182,3.5,1.5
1550,210,3.4,1.5
1551,203,3.3,0.9
1552,186,2.6,0.8
1553,175,2.5,0.9
1554,190,2.7,0.9
1555,185,2.3,1.1
1556,193,2.4,1.2
1557,203,2.2,1.1
1558,195,2.3,0.5
1559,189,2.4,0.8
1560,192,2.6,0.9
1561,186,2.5,0.8
1562,177,2.4,0.9
1563,180,2.3,1.1
1564,364,2.4,1.2
1565,352,2.5,0.8
1566,203,2.4,0.8
1567,215,2.6,0.9
1568,202,2.6,1.9
1569,228,2.8,1.7
1570,185,2.7,1.8
1571,191,2.8,1.9
1572,236,2.9,1.7
1573,214,2.8,0.8
1574,226,2.9,0.7
1575,219,3,0.8
1576,206,3.6,1.6
1577,195,3.5,1.5
1578,203,3.4,1.6
1579,189,4.3,1.4
1580,201,4.4,1.5
1581,185,4.3,1.1
1582,193,4.5,1.3
1583,185,4.6,1.7
1584,190,4.6,1.7
1585,213,4.2,1.8
1586,204,4.4,1.9
1587,210,4.6,1.9
1588,211,4.9,2
1589,354,5.1,2.2
1590,336,8.1,3.9
1591,329,8.3,3.5
1592,421,8.4,3.6
1593,387,7.8,3.7
1594,283,6.8,4.6
1595,301,7.2,4.1
1596,426,7.6,4.2
1597,387,7.4,4.1
1598,325,6.8,2.5
1599,333,6.9,2.4
1600,319,7.3,2.3
1601,328,6.5,2.4
1602,294,6.2,2.2
1603,289,6.6,2.3
