,COD2i
672,421
673,382
674,407
675,431
676,397
677,411
678,428
679,500
680,210
681,310
682,350
683,426
684,388
685,345
686,440
687,326
688,415
689,375
690,391
691,350
692,325
693,361
694,395
695,434
696,412
697,415
698,387
699,421
700,465
701,620
702,505
703,480
704,380
705,520
706,496
707,425
708,451
709,447
710,395
711,394
712,280
713,326
714,375
715,410
716,356
717,380
718,443
719,390
720,282
721,325
722,312
723,354
724,332
725,361
726,351
727,385
728,346
729,291
730,315
731,325
732,346
733,333
734,360
735,380
736,280
737,325
738,360
739,355
740,348
741,405
742,380
743,350
744,789
745,722
746,685
747,564
748,475
749,596
750,455
751,421
752,395
753,437
754,411
755,420
756,396
757,473
758,402
759,473
760,396
761,434
762,473
763,452
764,432
765,398
766,405
767,431
768,389
769,412
770,437
771,425
772,418
773,438
774,356
775,420
776,455
777,419
778,462
779,427
780,395
781,436
782,371
783,321
784,410
785,436
786,582
787,568
788,541
789,482
790,448
791,1579
792,684
793,862
794,949
795,844
796,787
797,602
798,713
799,750
800,1491
801,1376
802,1038
803,1596
804,1437
805,1503
806,1175
807,1423
808,1275
809,1368
810,1420
811,1341
812,1422
813,1266
814,1142
815,1353
816,1377
817,1224
818,1352
819,1421
820,1320
821,1341
822,1243
823,1355
824,1195
825,1259
826,1324
827,1347
828,1421
829,1158
830,1280
831,1035
832,1211
833,1148
834,1362
835,1220
836,1354
837,1367
838,1220
839,1243
840,1361
841,1255
842,1326
843,1421
844,1344
845,1183
846,1425
847,1246
848,1195
849,1324
850,1363
851,1213
852,1347
853,1275
854,1255
855,1341
856,1211
857,1282
858,1584
859,1471
860,1524
861,1568
862,1350
863,1260
864,4999
865,4736
866,2697
867,2474
868,3266
869,3890
870,2975
871,3246
872,2956
873,2749
874,3051
875,2954
876,2474
877,2656
878,703
879,1255
880,936
881,741
882,687
883,584
884,540
885,663
886,590
887,690
888,633
889,618
890,547
891,521
892,604
893,485
894,552
895,410
896,333
897,702
898,526
899,456
900,543
901,280
902,771
903,431
904,652
905,701
906,575
907,673
908,524
909,350
910,413
911,380
912,320
913,368
914,342
915,324
916,361
917,437
918,385
919,463
920,351
921,382
922,403
923,395
924,424
925,422
926,392
927,525
928,645
929,419
930,333
931,324
932,425
933,315
934,331
935,473
936,420
937,468
938,433
939,457
940,423
941,350
942,339
943,312
944,256
945,473
946,452
947,426
948,439
949,280
950,357
951,360
952,320
953,372
954,315
955,364
956,348
957,336
958,390
959,350
960,320
961,361
962,308
963,321
964,352
965,336
966,310
967,325
968,360
969,341
970,372
971,357
972,344
973,323
974,410
975,380
976,350
977,421
978,392
979,331
980,362
981,341
982,414
983,370
984,360
985,394
986,385
987,369
988,347
989,402
990,380
991,390
992,385
993,364
994,213.5
995,325
996,348
997,294
998,302
999,326
1000,310
1001,342
1002,326
1003,352
1004,364
1005,405
1006,485
1007,460
1008,553
1009,528
1010,452
1011,484
1012,453
1013,410
1014,395
1015,356
1016,380
1017,425
1018,368
1019,410
1020,430
1021,417
1022,474
1023,420
1024,380
1025,416
1026,374
1027,395
1028,451
1029,354
1030,340
1031,352
1032,360
1033,382
1034,425
1035,471
1036,456
1037,385
1038,405
1039,360
1040,411
1041,392
1042,268
1043,350
1044,340
1045,275
1046,385
1047,375
1048,360
1049,335
1050,357
1051,368
1052,356
1053,260
1054,310
1055,307
1056,339
1057,287
1058,306
1059,295
1060,315
1061,330
1062,321
1063,421
1064,387
1065,425
1066,410
1067,440
1068,410
1069,391
1070,380
1071,340
1072,348
1073,362
1074,297
1075,340
1076,326
1077,338
1078,351
1079,320
1080,330
1081,361
1082,1868
1083,1035
1084,1146
1085,973
1086,890
1087,752
1088,421
1089,533
1090,449
1091,454
1092,430
1093,476
1094,344
1095,360
1096,360
1097,324
1098,913
1099,513
1100,473
1101,441
1102,596
1103,543
1104,475
1105,517
1106,435
1107,420
1108,437
1109,420
1110,454
1111,460
1112,511
1113,484
1114,376
1115,420
1116,407
1117,422
1118,450
1119,380
1120,350
1121,412
1122,400
1123,420
1124,450
1125,410
1126,450
1127,385
1128,400
1129,364
1130,320
1131,387
1132,356
1133,392
1134,460
1135,420
1136,358
1137,392
1138,405
1139,347
1140,385
1141,396
1142,264
1143,280
1144,270
1145,326
1146,360
1147,740
1148,613
1149,559
1150,456
1151,510
1152,450
1153,473
1154,438
1155,421
1156,492
1157,420
1158,521
1159,430
1160,459
1161,473
1162,428
1163,771
1164,682
1165,541
1166,561
1167,510
1168,523
1169,472
1170,458
1171,465
1172,568
1173,548
1174,664
1175,530
1176,536
1177,553
1178,515
1179,460
1180,505
1181,518
1182,584
1183,560
1184,570
1185,541
1186,469
1187,540
1188,565
1189,520
1190,441
1191,460
1192,596
1193,547
1194,516
1195,490
1196,450
1197,510
1198,530
1199,480
1200,490
1201,513
1202,475
1203,771
1204,743
1205,694
1206,635
1207,671
1208,811
1209,473
1210,510
1211,536
1212,588
1213,602
1214,515
1215,560
1216,570
1217,486
1218,533
1219,480
1220,512
1221,550
1222,581
1223,544
1224,560
1225,505
1226,482
1227,560
1228,520
1229,564
1230,498
1231,500
1232,560
1233,517
1234,494
1235,480
1236,572
1237,514
1238,531
1239,560
1240,550
1241,476
1242,492
1243,510
1244,531
1245,512
1246,584
1247,575
1248,600
1249,581
1250,526
1251,456
1252,482
1253,504
1254,515
1255,473
1256,494
1257,1579
1258,1258
1259,1290
1260,496
1261,456
1262,480
1263,470
1264,455
1265,510
1266,583
1267,333
1268,490
1269,472
1270,505
1271,421
1272,476
1273,438
1274,426
1275,433
1276,458
1277,480
1278,433
1279,412
1280,482
1281,458
1282,510
1283,480
1284,459
1285,422
1286,469
1287,420
1288,450
1289,315
1290,348
1291,320
1292,410
1293,473
1294,382
1295,410
1296,410
1297,436
1298,511
1299,440
1300,333
1301,380
1302,410
1303,378
1304,389
1305,364
1306,436
1307,1052
1308,880
1309,810
1310,508
1311,350
1312,360
1313,411
1314,392
1315,395
1316,455
1317,480
1318,505
1319,450
1320,701
1321,642
1322,501
1323,596
1324,543
1325,510
1326,492
1327,613
1328,590
1329,533
1330,459
1331,438
1332,451
1333,468
1334,392
1335,420
1336,263
1337,302
1338,342
1339,329
1340,385
1341,401
1342,1684
1343,1421
1344,1228
1345,1070
1346,1156
1347,800
1348,806
1349,840
1350,1324
1351,1120
1352,890
1353,952
1354,513
