,P,DO
333,51.4,2
334,53.6,0.6
335,54.1,0.8
336,55.1,2.1
337,62.8,2.5
338,62.6,3.2
339,60.4,3
340,61,3.7
341,60.8,3.6
342,59.7,1.7
343,59.8,3
344,56.2,1
345,55,2.6
346,55.9,0.9
347,57.3,1.7
348,54.3,3.2
349,53.3,3.3
350,53.9,1.4
351,53.8,3.6
352,56.1,2.1
353,57.7,1.1
354,53.9,0.3
355,50.4,0.2
356,54,1.4
357,54.1,0.8
358,54.4,2.2
359,51.4,1.5
360,45.5,0.9
361,56.5,3.6
362,54.8,1.1
363,54.2,2.5
364,59.4,3.8
365,60.5,3
366,56.9,2.7
367,60.7,1.2
368,67.9,1.4
369,67.8,3.2
370,67.7,1
371,67.2,0.4
372,68.4,0
373,62.3,0
374,57.3,3.5
375,64,5.3
376,59.2,2.4
377,60,4.7
378,57.9,7.1
379,60.2,7
380,60.2,7.9
381,57.7,8.2
382,59.9,5
383,59.3,7.2
384,58.5,7.3
385,57.6,6.5
386,57.9,7.8
387,58.3,8
388,60.1,8.3
389,59,8.8
390,58.2,7.2
391,57.6,7.6
392,58.2,5.5
393,59.8,4.8
394,58.5,3.2
395,58.7,5.4
396,57.9,8
397,58.3,6.2
398,57.7,8.1
399,58.9,8.6
400,58.6,8.8
401,57.9,8.3
402,59.2,9.1
403,56.6,6.4
404,57.9,9.4
405,59.3,8.9
406,62,7
407,67.9,8.6
408,68.2,7.2
409,68.1,9.7
410,59.9,8.5
411,58.2,9.2
412,61.2,7
413,61.5,7.4
414,60.5,7.1
415,62.1,6.8
416,60.5,6.7
417,59.7,8.1
418,58.6,8.7
419,58.9,4.8
420,59.1,2.4
421,60.6,5.1
422,59.8,4.5
423,59.4,2.1
424,58.9,1.7
425,59.2,0.1
426,59.1,1.5
427,60.7,2.4
428,60,1.4
429,60.3,2.1
430,60.2,1.4
431,60,2.1
432,59.6,2.3
433,59.6,3.2
434,60.2,3.5
435,61,3.7
436,61,3.6
437,60.9,4.1
438,60.7,3.9
439,60.7,4.2
440,61,4.8
441,59.5,6.2
442,58.6,5.6
443,60.1,5.6
444,60.4,5
445,59.8,5.2
446,61.1,4.5
447,61.6,3.8
448,61,4.3
449,59.6,4.4
450,59.2,3.4
451,60.6,4.8
452,59.5,3.9
453,61.5,2.5
454,60.5,4.2
455,61.1,5.8
456,61.6,4.8
457,61,5.5
458,61.2,4.6
459,61.1,5.6
460,60.8,2.9
461,61.1,2.9
462,61,4.4
463,61.3,5.8
464,61,5.9
465,61.3,5.7
466,61.9,4.5
467,61.9,4
468,61.9,5.4
469,62.3,5
470,61.4,4.9
471,61.2,4.4
472,61.5,4.8
473,61,4.6
474,60.7,4.2
475,60.5,4.3
476,60.8,3.3
477,60.9,3.6
478,61,4.7
479,60.2,4.5
480,59.5,4.9
481,59.8,4.8
482,60.3,4.6
483,60.6,5
484,60.6,5.7
485,60.7,5.6
486,60.3,5.7
487,60.2,5.8
488,60.1,5.8
489,60.4,5.8
490,60.4,5.3
491,60.5,5.4
492,60.4,5.5
493,60.8,5.6
494,59.5,5.7
495,59.1,5.9
496,59.4,5.8
497,59.4,5.9
498,59.1,5.1
499,59.9,5
500,60,6
501,59.5,5.2
502,59.6,5.1
503,59.9,4.1
504,60.7,3.1
505,60.3,2.5
506,59.5,5.6
507,59.7,5
508,58.9,5.6
509,59.1,5.1
510,59.3,4
511,59.6,5.9
512,59.9,4.8
513,59.5,4.9
514,59.4,4.8
515,59.9,2.7
516,60.4,6.2
517,59.8,6
518,60.2,5.6
519,59.5,5.4
520,59.5,4.4
521,59.3,4
522,59.7,5
523,59.9,4.9
524,60.1,4.6
525,60,4.8
526,60.9,5.2
527,61.5,5.4
528,61.2,5.5
529,61,5.5
530,59.7,5.1
531,60.8,4.5
532,60.2,4.4
533,58.6,4.5
534,59.7,4.3
535,60.3,3.7
536,60.1,2.6
537,60.1,3.8
538,58.9,4
539,59.1,3.8
540,59.3,3.7
541,59.3,4.6
542,59.1,3.8
543,59.1,3.6
544,59.2,4.2
545,59.4,3.7
546,59.8,3.6
547,59.2,2.2
548,58.8,2.4
549,59.2,2.5
550,59.1,2.6
551,59.7,3
552,58.9,2
553,59.3,2.5
554,59.2,1.5
555,59.3,2.1
