,P,DO
1415,18.1,8.76
1416,17,8.57
1417,19.5,8.68
1418,18.5,8.84
1419,18.2,8.59
1420,18.2,9.14
1421,26.2,9.87
1422,17.9,10.35
1423,19.8,10.36
1424,24.1,10.47
1425,15.9,10.28
1426,21.2,10.21
1427,17.4,9.86
1428,19.7,9.57
1429,21.1,4.87
1430,21.6,5.21
1431,22.6,6.36
1432,23.3,9.48
1433,31.2,10.06
1434,34.7,10.38
1435,34.1,10.57
1436,27.8,10.64
1437,18.6,9.98
1438,18.7,7.69
1439,20.5,5.76
1440,20.7,4.05
1441,20.6,3.39
1442,20.2,1.98
1443,19.8,3.35
1444,20.5,2.04
1445,20.2,1.96
1446,21.8,1.61
1447,20.4,1.82
1448,19.6,0.87
1449,17.5,1.05
1450,16.6,1.12
1451,16.6,1.81
1452,17.3,0.67
1453,16.9,1.18
1454,16.2,2.48
1455,15.4,4.73
1456,16,4.67
1457,17.9,1.18
1458,16.7,3.77
1459,16.6,5.49
1460,16.8,4.95
1461,18.2,5.8
1462,30.7,9.36
1463,37,12.03
1464,35.1,12.18
1465,38.5,12.65
1466,23.2,12.8
1467,20.1,12.71
1468,36.9,12.81
1469,38.4,12.18
1470,37.1,9.49
1471,33.7,7.35
1472,24,7.39
1473,38.4,6.08
1474,37.3,7.23
1475,21.7,8.66
1476,10.1,10.11
1477,13.9,6.21
1478,25.1,8.91
1479,35.4,9.88
1480,35,10.24
1481,26,10.48
1482,30,10.67
1483,32,10.64
1484,31.2,10.44
1485,21.4,10.56
1486,33.9,10.76
1487,41.8,10.74
1488,42.2,10.84
1489,42.3,11.09
1490,42.1,11.06
1491,41.7,10.99
1492,41.4,10.99
1493,40.9,11
1494,41.1,10.9
1495,41.9,10.95
1496,42,11.09
1497,42.4,11.21
1498,28.8,11.2
1499,21.7,11.66
1500,20.3,12.02
1501,19.7,11.8
1502,38.2,11.64
1503,37.7,11.62
1504,42.4,11.52
1505,24.6,11.52
1506,24.3,11.41
1507,35.4,11.37
1508,33.7,11.43
1509,27.4,11.58
1510,25.4,11.67
1511,23.7,11.72
1512,41.8,11.76
1513,42.6,11.85
1514,43.4,11.89
1515,43.6,11.92
1516,35.3,11.92
1517,33.1,11.81
1518,28.7,11.71
1519,43.3,11.6
1520,33.3,11.54
1521,30.6,11.43
1522,28,11.21
1523,37.7,11.13
1524,21.5,11.06
1525,23.5,10.96
1526,23.6,10.95
1527,24.5,10.82
1528,19.9,10.5
1529,20.6,10.24
1530,20.3,9.64
1531,20.3,9.29
1532,19.9,7.88
1533,27.9,8.46
1534,24,7.12
1535,22,2.67
1536,20.4,5.19
1537,21.4,6
1538,19.3,4.53
1539,20.5,6.02
1540,20.2,7.64
1541,18.4,7.83
1542,20.2,7.87
1543,20.3,8.2
1544,19.2,8.24
1545,20.8,8.29
1546,21,8.57
1547,19.9,8.94
1548,36.5,9.76
1549,42.2,10.05
1550,29.2,10.34
1551,23.1,10.25
1552,20.6,9.96
1553,18.2,9.94
1554,19,9.59
1555,19.4,9.21
1556,19.3,8.86
1557,18.2,8.81
1558,18.1,8.65
1559,17.3,8.47
1560,17.3,8.44
1561,16.8,7.17
1562,18.4,7.66
1563,18.2,8.86
1564,18.1,8.81
1565,17.3,8.65
1566,17.3,8.47
1567,16.8,8.44
1568,18.4,7.17
1569,15.8,7.66
1570,18.9,7.54
1571,19.9,7.85
1572,18.5,8.25
1573,18.3,8.4
1574,19.8,8.78
1575,18.5,9.22
1576,17.6,9.26
1577,16.6,8.31
1578,15.8,9.38
1579,17.1,9.47
1580,18.3,8.38
1581,17.7,7.17
1582,17.2,7.47
1583,16.4,7.7
1584,16.8,7.93
1585,18.4,4.97
1586,20.6,8.34
1587,16.3,8.99
1588,16.4,9.02
1589,16.6,8.91
1590,15.7,8.82
1591,15.5,8.74
1592,13.7,8.66
1593,15.1,8.68
1594,17.4,8.72
1595,19.2,8.68
1596,19.6,8.87
1597,17.1,9.05
1598,18.5,9.15
1599,18.7,9.11
1600,19,9.55
1601,21.3,9.23
1602,19.7,9.69
1603,17.5,9.75
