Date,observed,seasonal,resid
2021/5/7,345,4.387930693,-6.120762147
2021/5/8,357,10.16225533,-2.0702916
2021/5/9,345,-2.264360955,-4.543744382
2021/5/10,375.1,-9.289548734,29.32157152
2021/5/11,365,8.494114306,-2.153551614
2021/5/12,354,-14.55241593,6.06510818
2021/5/13,364,-2.108444842,-0.295873973
2021/5/14,375,4.554094589,0.607920568
2021/5/15,384,14.88286027,-3.208322648
2021/5/16,378,-4.17846565,8.275220121
2021/5/17,376,-9.962102553,11.06208064
2021/5/18,387,6.651709692,4.815983134
2021/5/19,354,-18.07212553,-4.78575722
2021/5/20,365,0.301696835,-13.90288113
2021/5/21,354,16.87111552,-43.17018797
2021/5/22,355,17.46530751,-44.93495998
2021/5/23,324,-8.978301049,-55.22983154
2021/5/24,378,-13.47697993,-6.249085556
2021/5/25,351,1.866214611,-55.53719695
2021/5/26,499,-22.77506218,109.5589554
2021/5/27,478,7.270302945,49.26630461
2021/5/28,493,23.59090834,38.27886573
2021/5/29,469,19.99327586,8.03864253
2021/5/30,426,-11.14354996,-13.93871252
2021/5/31,440,-20.4262129,0.283480374
2021/6/1,466,-4.578569027,2.931455551
2021/6/2,454,-27.23706584,7.027635068
2021/6/3,505,13.64709078,11.38543962
2021/6/4,525,36.47156927,3.711908632
2021/6/5,510,20.51492516,0.904498786
2021/6/6,486,-7.984710336,3.015448851
2021/6/7,475,-24.80712517,7.613776208
2021/6/8,484,-11.17999783,2.502138649
2021/6/9,460,-26.75661435,-5.71729111
2021/6/10,520,18.59469781,10.63685909
2021/6/11,516,28.61926705,-0.005089911
2021/6/12,507,17.96372056,6.069471824
2021/6/13,496,-0.311827746,18.21921067
2021/6/14,485,-23.18699452,35.51697379
2021/6/15,453,-9.698281061,-2.952715019
2021/6/16,441,-22.73276843,8.276545345
2021/6/17,457,9.019643015,4.983228812
2021/6/18,359,23.48830389,-94.22430038
2021/6/19,346,14.10766801,-85.17635067
2021/6/20,355,6.036092106,-57.15516815
2021/6/21,364,-19.51528547,-12.12698215
2021/6/22,340,-8.108646756,-35.00138936
2021/6/23,347,-15.95051412,-8.27267302
2021/6/24,350,1.483406827,-18.056163
2021/6/25,387,18.89153559,3.234012163
2021/6/26,375,9.600037361,1.789245929
2021/6/27,367,9.382767051,-4.764178987
2021/6/28,351,-13.63335923,3.76226151
2021/6/29,361,-8.1296248,9.922954908
2021/6/30,354,-11.45587455,7.700696325
2021/7/1,345,-4.298061313,-7.279849922
2021/7/2,353,15.81184529,-18.5269541
2021/7/3,345,5.296427976,-15.41661068
2021/7/4,366,6.035496573,5.060387789
2021/7/5,352,-0.027731195,-3.689003084
2021/7/6,341,-11.66737338,-5.325672916
2021/7/7,351,-9.471306833,-0.976465264
2021/7/8,364,-0.434160318,-0.557933551
2021/7/9,384,17.25742919,-1.200353851
2021/7/10,378,-1.69979706,9.175998561
2021/7/11,376,-1.657367325,4.807159111
2021/7/12,387,3.059767603,9.3821642
2021/7/13,354,-18.41113078,-3.657685885
2021/7/14,365,-3.161703782,-9.479769278
2021/7/15,354,13.08207852,-38.20329499
2021/7/16,355,19.59755818,-45.52433096
2021/7/17,324,-6.957134402,-55.485265
2021/7/18,378,-10.36425152,-8.144746308
2021/7/19,351,1.156871856,-53.61866149
2021/7/20,499,-23.09155412,111.9014733
2021/7/21,478,5.360271566,53.36724506
2021/7/22,493,20.73849799,43.07442893
2021/7/23,469,21.03413616,8.662211214
2021/7/24,426,-10.52524046,-13.18065287
2021/7/25,440,-17.96606534,-1.085971705
2021/7/26,466,-4.132852345,3.097385125
2021/7/27,454,-28.30233484,8.311699682
2021/7/28,505,14.44345652,10.71339321
2021/7/29,525,37.46725936,2.936245439
2021/7/30,510,17.11435082,4.634596397
2021/7/31,486,-13.26641236,8.425580797
2021/8/1,475,-20.06518625,2.377804054
2021/8/2,484,-4.547647146,-5.5740555
2021/8/3,460,-22.22019102,-13.04533511
2021/8/4,520,18.44981266,5.30301488
2021/8/5,516,19.52314176,-0.848898284
2021/8/6,507,7.81375533,0.325894473
2021/8/7,496,-10.95942418,6.246594605
2021/8/8,485,-11.60120784,-5.242432835
2021/8/9,453,2.435566915,-50.80328704
2021/8/10,441,-10.75266555,-56.52879685
2021/8/11,457,12.76255869,-71.28739789
2021/8/12,460,8.688893916,-66.6476769
2021/8/13,550,-1.785940568,31.68460625
2021/8/14,621,-13.82076285,99.99158369
2021/8/15,586,-2.872645207,40.81539067
2021/8/16,549,9.97167124,2.246894989
2021/8/17,535,1.915536952,4.883332741
2021/8/18,521,7.622002297,-8.537230421
2021/8/19,505,0.657265307,-12.44980476
2021/8/20,499,-11.21551878,-1.838732661
2021/8/21,485,-18.35855118,-4.037592313
2021/8/22,520,2.505090331,14.95188383
2021/8/23,516,16.63368114,1.8555617
2021/8/24,507,10.93330871,3.939760948
2021/8/25,496,4.730547956,5.228335805
2021/8/26,485,-4.336030286,10.36141232
2021/8/27,453,-12.72932496,-5.082953094
2021/8/28,441,-20.681702,0.105947762
2021/8/29,457,4.699654703,2.950746015
2021/8/30,359,18.30606933,-93.011663
2021/8/31,346,9.285711509,-84.08019408
2021/9/1,355,3.356068751,-58.27969206
2021/9/2,364,-5.251921,-30.32513581
2021/9/3,340,-6.883574921,-39.2368721
2021/9/4,347,-15.37569131,-5.821207057
2021/9/5,350,-6.667058428,-6.598389427
2021/9/6,387,19.1269755,4.613043905
2021/9/7,375,5.700284851,6.544767513
2021/9/8,367,-1.191484066,6.444658054
2021/9/9,351,-1.606529676,-7.657780078
2021/9/10,361,-0.57490469,2.66201968
2021/9/11,354,-8.6560994,4.8889856
2021/9/12,345,-6.150887456,-5.751280025
2021/9/13,353,21.39695485,-25.03383582
2021/9/14,345,3.809683518,-18.86655539
2021/9/15,366,-4.296093821,-7.348255234
2021/9/16,352,8.419365856,-54.56159808
2021/9/17,341,-17.0321811,-54.72226776
2021/9/18,351,-25.45942231,-51.21873429
2021/9/19,521,10.07424437,65.4481487
2021/9/20,505,25.798987,14.35678922
2021/9/21,499,5.074795262,9.426019254
2021/9/22,485,-3.208161865,0.224423138
2021/9/23,520,21.14741314,15.7354857
2021/9/24,516,-32.58777911,71.35978948
2021/9/25,507,-34.81579793,71.01470462
2021/9/26,496,14.70382589,17.53300854
2021/9/27,485,29.46877803,-0.509087842
2021/9/28,453,8.701538393,-2.602285055
2021/9/29,441,-0.011113753,5.988572715
2021/9/30,457,28.21739738,6.85694431
2021/10/1,359,-46.2774895,-3.995370111
2021/10/2,346,-47.06571711,-4.327515639
2021/10/3,355,24.41154404,-54.98615876
2021/10/4,364,27.27873194,-37.83555708
2021/10/5,340,8.826838929,-35.20259237
2021/10/6,347,1.42184555,-14.0503762
2021/10/7,350,5.901104114,-8.011241753
2021/10/8,376,-19.14818165,49.52856852
2021/10/9,387,-32.95977118,75.25292761
2021/10/10,354,14.1852382,-6.572928014
2021/10/11,365,21.11269896,-5.154387272
2021/10/12,354,5.420888224,-3.860152762
2021/10/13,355,-0.224494562,-2.20528331
2021/10/14,324,-5.199049291,-34.57729158
2021/10/15,378,1.628710413,5.945665693
