Date,CODMBR,rolling_median,raw_signed_dev
2021/5/1,362,-5,6
2021/5/2,357,-5,5
2021/5/3,334,-5,-22
2021/5/4,351,0,-6
2021/5/5,325,-5,-31
2021/5/6,352,-1,-5
2021/5/7,345,-1,-12
2021/5/8,357,-1,0
2021/5/9,345,-1,-12
2021/5/10,375.1,-1,18.1
2021/5/11,365,0,1
2021/5/12,354,0,-10
2021/5/13,364,0,-1
2021/5/14,375,0,10
2021/5/15,384,0,19
2021/5/16,378,-1,13
2021/5/17,376,0,11
2021/5/18,387,-1,22
2021/5/19,354,-1,-11
2021/5/20,365,0,-10
2021/5/21,354,10,-22
2021/5/22,355,3,-23
2021/5/23,324,0,-54
2021/5/24,378,-10,0
2021/5/25,351,-11,-36
2021/5/26,499,-12,73
2021/5/27,478,-12,38
2021/5/28,493,-12,39
2021/5/29,469,0,3
2021/5/30,426,0,-43
2021/5/31,440,0,-35
